step,eval,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.18125,,,,,,,,,,,,
1,,0.40620508439738967,0.40619514252734124,0.5,0.0023861148158185975,0.0,0.25,0.02187021172225421,1108.531005859375,0.008056640625,0.08844740688800812,0.222412109375,-2.169571649362338e-05
2,,0.39211149055078687,0.3921052119598001,0.5,0.002320785872322052,0.0,0.25,0.02350209685418856,1071.979736328125,0.0068359375,0.08093736320734024,0.271484375,3.850759968407521e-05
3,,0.3395907907947917,0.3420763275719859,0.5,0.002292601168013563,0.0,0.25,0.021929757116815194,1101.876220703125,0.004150390625,0.06070636585354805,0.27099609375,1.629508530501508e-05
4,,0.44347801572860523,0.44512054719159055,0.5,0.0023773284369115223,0.0,0.125,0.02544822692494101,1125.27490234375,0.005615234375,0.054363787174224854,0.260009765625,7.130244553806405e-05
5,,0.37869656138921964,0.37874615582306514,0.375,0.002235698969466047,0.0,0.125,0.01578759706217276,1084.86328125,0.00244140625,0.037340570241212845,0.329345703125,5.618482832403514e-06
6,,0.49041302541355297,0.49134807729003943,0.0,0.0022975290408225567,0.0,0.0,0.03812511836827749,1055.66162109375,0.003173828125,0.029253419488668442,0.3095703125,2.05829141860292e-05
7,,0.4294337809564406,0.4294289725497,0.375,0.002310673016413441,0.0,0.125,0.022024264246405658,1049.931884765625,0.001708984375,0.03031475841999054,0.338134765625,1.4069050275801927e-05
8,,0.4261288298449159,0.4261281137225084,0.5,0.0022080753064563047,0.0,0.125,0.02147609331852194,1001.591552734375,0.002685546875,0.0228995680809021,0.36669921875,8.465438644724958e-06
9,,0.47845529155995614,0.47844204468358,0.375,0.0020099858372421616,0.0,0.125,0.01807773818775034,1082.97509765625,0.003173828125,0.019974684342741966,0.39599609375,1.2898796450144799e-05
10,0.16666666666666666,0.49359376958348045,0.4935758771715306,0.5,0.0018838249199114414,0.0,0.125,0.015936777713278893,1096.83740234375,0.005126953125,0.020102890208363533,0.362548828125,2.3204194830602396e-05
11,,0.49255592506595236,0.49970901977093724,0.375,0.0019386542990273603,0.0,0.125,0.019552434223064373,1095.5126953125,0.002685546875,0.02137102745473385,0.395263671875,1.1692850220453485e-05
12,,0.5028820770323991,0.5028723065483858,0.375,0.0019849458196953334,0.0,0.125,0.015868741149471413,1049.4443359375,0.002685546875,0.016487255692481995,0.386474609375,3.598966520021759e-06
13,,0.5355260119697168,0.5355229515450773,0.0,0.001945749342081898,0.0,0.0,0.014533453275426723,1057.60986328125,0.00341796875,0.017495155334472656,0.41259765625,2.1980517680396536e-05
14,,0.42717887618238465,0.42717849975767974,0.5,0.002163698785166588,0.0,0.25,0.018235549979277642,1123.0,0.0078125,0.016213130205869675,0.42724609375,4.1834175974420406e-05
15,,0.48087541810100437,0.48087474933665975,0.0,0.0020002799946269743,0.0,0.0,0.016853489492650923,1203.228271484375,0.0126953125,0.018265826627612114,0.44580078125,7.509628017639733e-05
16,,0.44630216192015226,0.4471383542126498,0.375,0.001920564086611609,0.0,0.125,0.02413359951381369,1559.858642578125,0.025146484375,0.018861394375562668,0.46240234375,0.00027275672050627593
17,,0.36390557750444597,0.36390533368967637,0.625,0.001991776148800804,0.0,0.375,0.025244216885797748,2477.953369140625,0.080078125,0.028682777658104897,0.4775390625,9.465926432091906e-05
18,,0.3480750118229202,0.34807460036572124,0.5,0.0020138079697946515,0.0,0.25,0.030396296439042174,2659.0673828125,0.078125,0.03345852717757225,0.461181640625,3.52979762250484e-05
19,,0.3038039397746529,0.3172324816838776,0.625,0.002070513539333822,0.0,0.375,0.047124131540298375,2635.8173828125,0.071044921875,0.03070942312479019,0.509033203125,5.551494011585887e-05
20,0.30833333333333335,0.2975550705492867,0.29744369335760446,0.375,0.0019023341769369758,0.0,0.125,0.023128673775933986,2967.397705078125,0.0966796875,0.03355390578508377,0.541748046875,1.171060785113388e-05
21,,0.2600223941273373,0.2600217907100291,0.5,0.0019384166020751448,0.0,0.25,0.02097988874420039,3211.41748046875,0.095947265625,0.034916289150714874,0.52001953125,4.3516796102505134e-05
22,,0.2796506144152787,0.2796494355640937,0.5,0.0019233046267545732,0.0,0.25,0.023891226029013717,2962.398193359375,0.076416015625,0.03212052211165428,0.575439453125,1.9957366155082334e-05
23,,0.24277134876344694,0.24276905014209724,0.5,0.0019684527569737396,0.0,0.375,0.03316799344864901,3125.095703125,0.086669921875,0.03427520766854286,0.5322265625,1.931528319012126e-05
24,,0.2741763522365622,0.2741760608760462,0.625,0.001962674652765858,0.0,0.25,0.025757110772724294,3496.5517578125,0.111572265625,0.03666236996650696,0.517578125,2.063184079639092e-05
25,,0.2341785241844872,0.23403006143762195,0.625,0.0020261277907129144,0.0,0.375,0.03417966190220992,3227.44677734375,0.09326171875,0.033428553491830826,0.560791015625,1.6688801851288645e-05
26,,0.2505800377385996,0.25057870325345744,0.5,0.0019758874848225362,0.0,0.375,0.023582818691333513,3275.553466796875,0.103271484375,0.03327919915318489,0.56689453125,9.304045646931487e-06
27,,0.21509383031123946,0.2164573756599093,0.75,0.0019353253527490694,0.0,0.375,0.032589517593046916,3303.237060546875,0.0888671875,0.03404935076832771,0.559814453125,2.0436796868469003e-05
28,,0.28101376136133527,0.2810028312356229,0.375,0.0019861864695863646,0.0,0.25,0.03911180296668927,3314.9892578125,0.08935546875,0.03442100062966347,0.55419921875,2.6027703477064202e-05
29,,0.23652584634797996,0.23645610344962584,0.375,0.0020186196140975377,0.0,0.125,0.03551366583080284,3342.141357421875,0.0986328125,0.03393425792455673,0.56787109375,2.3866108923694918e-05
30,0.33958333333333335,0.25160975752315834,0.2521135568693217,0.5,0.0019297544556176873,0.0,0.375,0.029060020616418273,3380.010498046875,0.093505859375,0.03246390447020531,0.5654296875,1.98235336610574e-05
31,,0.219842842869404,0.2198422753399616,0.5,0.001993508754521899,0.0,0.25,0.026803437844194488,3265.847900390625,0.066162109375,0.03144590184092522,0.570556640625,2.0299800657970953e-05
32,,0.3049096850267389,0.3049088431979211,0.5,0.0020496165861027434,0.0,0.25,0.028342932575737882,3317.010498046875,0.082275390625,0.030958402901887894,0.55224609375,9.88344926713862e-06
