step,eval,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.10416666666666667,,,,,,,,,,,,
1,,0.22961494811077565,0.22954961184267586,0.625,0.007780983892022383,0.0,0.5,0.3198653602394924,1215.031494140625,0.01416015625,0.7167762517929077,0.166259765625,8.462679532783568e-05
2,,0.23986735795644437,0.2398578476752738,0.5,0.007666121962601307,0.0,0.375,0.29389313752028834,1188.928466796875,0.0107421875,0.6349495053291321,0.196044921875,0.0001097270130354211
3,,0.20790261863557732,0.20805953382081355,0.5,0.006253493748908525,0.0,0.25,0.2582770421855567,1226.070556640625,0.0126953125,0.5057876706123352,0.224365234375,3.142220128167598e-05
4,,0.20680262439090524,0.20679946181000788,0.5,0.006321523917929306,0.0,0.375,0.26153248171592924,1317.656005859375,0.015869140625,0.48029619455337524,0.203125,8.0533615540245e-05
5,,0.23709896425491409,0.23755186371220832,0.625,0.005125116259607067,0.0,0.375,0.19875172435062,1290.394775390625,0.01123046875,0.35641175508499146,0.270263671875,3.945736690731849e-05
6,,0.2560458130838573,0.2560454394927164,0.5,0.004668964435546985,0.0,0.375,0.18435819550062366,1269.16845703125,0.013916015625,0.3183306157588959,0.262939453125,2.2394831280178257e-05
7,,0.28265942027411206,0.2826335313307557,0.5,0.004485499048511749,0.0,0.25,0.21958106307327913,1246.814453125,0.011474609375,0.2829900085926056,0.278564453125,2.184334721088514e-05
8,,0.3569241048448718,0.3569726164553667,0.5,0.004097079820866388,0.0,0.25,0.15686856598736781,1166.924072265625,0.006591796875,0.24462322890758514,0.3154296875,2.7100840400084648e-05
9,,0.29946507504783193,0.2994646261348829,0.5,0.0039002950551037608,0.0,0.25,0.15295270396442318,1268.63720703125,0.00927734375,0.229853093624115,0.3369140625,3.206984664895588e-05
10,0.15416666666666667,0.2955401360097857,0.29601744057574586,0.5,0.0037331676099178466,0.0,0.25,0.14942800418625432,1328.099609375,0.014892578125,0.22399815917015076,0.3095703125,-9.581841806439756e-06
11,,0.3265213459739252,0.32652093426388074,0.5,0.003636976246610508,0.0,0.25,0.16066172590637895,1290.921142578125,0.00927734375,0.20724953711032867,0.331787109375,1.939264875013465e-05
12,,0.375215048681775,0.37521460551177654,0.5,0.003679570152332128,0.0,0.25,0.15268100748966024,1218.594970703125,0.01171875,0.1986188292503357,0.328125,2.1898554439421975e-05
13,,0.33452662529689425,0.3345195038903093,0.5,0.0037318616698794613,0.0,0.25,0.15708676319059256,1263.768798828125,0.01171875,0.2028258889913559,0.34423828125,5.044095481216242e-05
14,,0.3224438436568511,0.3224431137843321,0.5,0.0035184019423801704,0.0,0.375,0.13796537534855433,1247.108642578125,0.011474609375,0.19097699224948883,0.358642578125,2.394807280860315e-05
15,,0.3654771536607828,0.36546862428011984,0.5,0.0034712201982948694,0.0,0.125,0.13472439726934363,1324.0390625,0.018798828125,0.17724749445915222,0.35205078125,1.2890513151940188e-05
16,,0.3660447735141153,0.36601440040867783,0.5,0.003411303842383127,0.0,0.25,0.1399257738473169,1409.110595703125,0.016845703125,0.16095390915870667,0.363037109375,4.699635695774399e-05
17,,0.32693042308028,0.3272571782993028,0.5,0.0033850116252125296,0.0,0.25,0.12922511535172712,1495.7529296875,0.02783203125,0.16512545943260193,0.35009765625,3.109891090649815e-05
18,,0.24082137825137928,0.24081832221118493,0.625,0.003752243080924549,0.0,0.375,0.12886905932149975,1637.349365234375,0.03515625,0.1796913594007492,0.3330078125,2.911810206419031e-05
19,,0.31940289923174736,0.31940188240651113,0.5,0.0033859843947767745,0.0,0.25,0.13500735951263654,1846.65234375,0.048583984375,0.15897631645202637,0.3837890625,2.8952610125475617e-05
20,0.225,0.2709992219652581,0.2709196140975384,0.625,0.0034686229338438067,0.0,0.25,0.12519903178349573,2116.30419921875,0.06103515625,0.14798542857170105,0.420654296875,9.781712959356555e-05
21,,0.29178491163648473,0.2917056969981602,0.5,0.003380333737359362,0.0,0.125,0.1166348949041231,2552.36767578125,0.089599609375,0.1403290033340454,0.386962890625,0.00010774998369884345
22,,0.24564048054045,0.24563257104348235,0.625,0.0032415802668077087,0.0,0.375,0.11987067660053488,2583.179931640625,0.086181640625,0.13216379284858704,0.436279296875,6.531783711824398e-05
23,,0.21157076433105454,0.21155630353357774,0.5,0.003405859523836553,0.0,0.375,0.10407728910280128,2985.80322265625,0.123046875,0.13474959135055542,0.406982421875,3.401129328432402e-05
24,,0.20600254226873224,0.20594407869084141,0.75,0.003234510853069808,0.0,0.625,0.0912076285363342,3314.95654296875,0.145751953125,0.1317594349384308,0.428466796875,3.234496865344095e-05
25,,0.21958095622170842,0.21948233746175394,0.5,0.003179753890523922,0.0,0.375,0.09683973897670822,3186.181640625,0.1396484375,0.134353369474411,0.46630859375,4.014446575908642e-05
26,,0.15578237509636927,0.1560075596914428,0.625,0.003139283651788112,0.0,0.625,0.08687828485565134,3426.20556640625,0.157958984375,0.12422441691160202,0.474609375,1.7461437987475004e-05
27,,0.15411380954232257,0.15411345402458254,0.625,0.003241883478422372,0.0,0.5,0.08954014401190628,3705.182373046875,0.171875,0.12443666160106659,0.45751953125,4.9584554110345103e-05
28,,0.125211230981782,0.1251214222043776,0.75,0.003354076927068081,0.0,0.625,0.09004514929787027,3812.609130859375,0.176025390625,0.13422738015651703,0.4375,1.863016401591256e-05
29,,0.1410893760464385,0.1410821546831729,0.75,0.0033689460869072534,0.0,0.75,0.08199192352443554,3836.080810546875,0.18017578125,0.12783806025981903,0.4609375,1.6362626920494146e-05
30,0.25,0.11015286627839652,0.11013924056956308,0.625,0.003357601541864765,0.0,0.5,0.08149066221964989,4027.380126953125,0.194091796875,0.1276823729276657,0.458984375,6.109953258857247e-06
31,,0.1737550176610478,0.1736693115463051,0.625,0.0033569838103880588,0.0,0.5,0.07708647799047993,3947.96337890625,0.16845703125,0.12454968690872192,0.466552734375,1.280874370672564e-05
32,,0.16719750509444714,0.16717126602453697,0.625,0.003253508860880338,0.0,0.5,0.08245574346674027,3897.018798828125,0.172607421875,0.12374508380889893,0.46728515625,1.565705618739041e-05
33,,0.15946532976769517,0.15941987653498668,0.75,0.0033677065306688845,0.0,0.625,0.07249987590178375,4052.73291015625,0.19677734375,0.1232064738869667,0.4775390625,-2.2525095192725696e-08
34,,0.1597382466192009,0.15972798970238333,0.75,0.0035620344892119504,0.0,0.75,0.08521168328302914,4031.60498046875,0.177490234375,0.13571859896183014,0.455078125,1.7801315242746048e-06
35,,0.16702493227360732,0.16736251084320447,0.625,0.0035642818907454495,0.0,0.5,0.10167325863319265,3842.621826171875,0.16650390625,0.13023540377616882,0.491943359375,8.868827227732158e-06
36,,0.12342305010715456,0.12340631730417503,0.75,0.003452393798205829,0.0,0.625,0.07537769797015581,4065.459228515625,0.184326171875,0.1251317858695984,0.502685546875,-5.472432821415042e-07
37,,0.12522651839647678,0.12518409429887184,0.625,0.003461941215545973,0.0,0.5,0.07963732843550245,3880.20263671875,0.166748046875,0.13079440593719482,0.49853515625,7.922094323111831e-07
38,,0.13478044813570317,0.13476089948728914,0.75,0.003468414092039941,0.0,0.75,0.07683168213846672,3955.0888671875,0.16357421875,0.1275542676448822,0.5009765625,1.18801325306934e-05
39,,0.09004321149741626,0.0900333431050249,0.75,0.003907245350014464,0.0,0.875,0.07731457816410683,4090.69091796875,0.1669921875,0.14418929815292358,0.430419921875,1.629364054045566e-05
40,0.27291666666666664,0.1497048731462257,0.15002831973857156,0.75,0.003574674655876438,0.0,0.625,0.07402623677831169,4135.162109375,0.1787109375,0.13211634755134583,0.490234375,1.4884966025942785e-05
41,,0.15881569648376717,0.15881533176746518,0.75,0.003928720266873124,0.0,0.625,0.07914970529167148,3923.70849609375,0.158203125,0.14142310619354248,0.51025390625,7.623988847727183e-06
42,,0.1393400847951079,0.13933174101149848,0.625,0.0037781268621712915,0.0,0.5,0.07785180298800343,3945.15673828125,0.161865234375,0.1393393576145172,0.527099609375,-7.840882482932153e-07
43,,0.11991425331617067,0.11991106667006718,0.75,0.004152285497644785,0.0,0.75,0.07991235330575364,3936.377685546875,0.1474609375,0.15145787596702576,0.4921875,2.3292250216861435e-05
44,,0.09883167590515396,0.09882927393827662,0.75,0.0039967570598230685,0.0,0.75,0.07516732777712583,4092.901611328125,0.164794921875,0.14563100039958954,0.475341796875,1.073932347907971e-05
45,,0.14815645675012926,0.14811051590262703,0.75,0.003922968815143687,0.0,0.625,0.07420534524072414,3998.620849609375,0.162353515625,0.14433518052101135,0.49658203125,1.1059853534098592e-05
46,,0.10237462668237458,0.10229168236982841,0.75,0.0041598709485684985,0.0,0.75,0.08289022129537857,3931.93505859375,0.14404296875,0.15075375139713287,0.513427734375,1.8546530884844967e-05
47,,0.05651522751970032,0.056513948387796935,0.75,0.004309356683099187,0.0,0.75,0.0804924903883919,4072.8193359375,0.15966796875,0.15345528721809387,0.469970703125,1.6820012647392365e-05
48,,0.11495136128826014,0.11495091326588604,0.75,0.0044653133918423436,0.0,0.75,0.0764613724737746,4121.8876953125,0.15283203125,0.16366684436798096,0.478271484375,1.573902809434344e-05
49,,0.1016833805068675,0.1016780249181871,0.75,0.004541539128772701,0.0,0.875,0.11612759278966656,4119.12890625,0.16259765625,0.1636233925819397,0.485107421875,2.41011127585025e-05
