step,eval,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.11875,,,,,,,,,,,,
1,,0.17070647403798822,0.17070342366981067,0.625,0.008066885720094355,0.0,0.5,0.026160459836880503,1237.131103515625,0.013427734375,0.12728631496429443,0.1591796875,3.329170860793668e-05
2,,0.19351790322776602,0.1935176549875275,0.625,0.007932346441218091,0.0,0.375,0.023888532824938906,1173.056640625,0.012451171875,0.11829576641321182,0.1982421875,9.615260299478123e-05
3,,0.21566346819498822,0.21566316500146737,0.625,0.006331681657570587,0.0,0.375,0.022712415346470508,1152.23486328125,0.00927734375,0.08101528882980347,0.218505859375,7.026101557367307e-05
4,,0.253151504978665,0.2531512017655287,0.5,0.005868085751834579,0.0,0.25,0.02157582473932354,1225.62841796875,0.008544921875,0.06927487999200821,0.212158203125,7.999416227148319e-05
5,,0.24604964293250903,0.24604925183182091,0.5,0.00514617856984742,0.0,0.25,0.02249877296556089,1230.29736328125,0.012939453125,0.05772167071700096,0.27392578125,6.906385239033124e-05
6,,0.22862795771117822,0.2285994431917051,0.5,0.004415961197324564,0.0,0.375,0.019403538863681485,1194.98974609375,0.009765625,0.039705000817775726,0.278076171875,1.8777148777430236e-05
7,,0.3562219428138833,0.3562215297811241,0.5,0.003945324709096783,0.0,0.25,0.02058777873284373,1221.314208984375,0.009521484375,0.03549257665872574,0.300537109375,2.676250200247902e-05
8,,0.2791181366008979,0.27912911423261644,0.5,0.0036809859876285387,0.0,0.375,0.018796635616442084,1195.010986328125,0.01171875,0.029145818203687668,0.32421875,6.802526162630328e-06
9,,0.25242978503444,0.2524269428191048,0.625,0.003378950958346562,0.0,0.5,0.019071319668619205,1437.53515625,0.01806640625,0.028706682845950127,0.3515625,4.3148500636528796e-05
10,0.16041666666666668,0.31552389916239976,0.3153701590152469,0.5,0.0033082301495038265,0.0,0.125,0.018577099818062916,1545.0390625,0.021484375,0.025182953104376793,0.329833984375,4.6315657578732676e-05
11,,0.17771556078516154,0.1777138916809874,0.75,0.0029965307839499244,0.0,0.625,0.020275217593940336,1901.88037109375,0.04443359375,0.027513686567544937,0.37939453125,3.506321688681512e-05
12,,0.33269514658437727,0.33660981830644715,0.5,0.0029107717136688366,0.0,0.25,0.021148649243107952,2010.929443359375,0.04833984375,0.02709314413368702,0.36962890625,7.618519380636903e-05
13,,0.273836034387259,0.2738356951538119,0.5,0.002955618074440141,0.0,0.375,0.021469542488324736,2205.171875,0.052001953125,0.03083192929625511,0.4140625,7.489538242005971e-05
14,,0.24481246004668716,0.24481131602865885,0.625,0.002940162023125548,0.0,0.5,0.022335834350544842,2398.63623046875,0.071044921875,0.03343644365668297,0.434814453125,5.795710574719553e-05
15,,0.19588617949880455,0.19587458610965447,0.625,0.0029352392730666414,0.0,0.5,0.02195499563915613,2686.127685546875,0.08837890625,0.03259371966123581,0.42236328125,4.3782482682341174e-05
16,,0.20904125235839405,0.209004652474707,0.625,0.002664126586274291,0.0,0.5,0.024249942505872722,2871.36669921875,0.08251953125,0.032443832606077194,0.4423828125,3.8447398719916526e-05
17,,0.18322271214641073,0.1832118758174055,0.5,0.002594516006191961,0.0,0.5,0.02533319986600578,3173.404296875,0.112060546875,0.03530353307723999,0.434326171875,6.710759006317357e-05
18,,0.16493039592794528,0.16881877555419514,0.5,0.0028419816913483734,0.0,0.5,0.024140891513141763,3118.303955078125,0.09716796875,0.03590735048055649,0.421875,3.1756066389421574e-05
19,,0.1989305035111666,0.1989300997852857,0.5,0.0027506951544220646,0.0,0.5,0.025523273045272785,3157.10546875,0.099853515625,0.03503071516752243,0.467529296875,2.5480456280709715e-05
20,0.24375,0.2305889586288828,0.23056637705404448,0.5,0.00267110868932247,0.0,0.375,0.028055114569129454,3336.133544921875,0.11767578125,0.03545759245753288,0.4775390625,2.450153293756134e-05
21,,0.1805012372487949,0.1804678054626226,0.625,0.002690493751025721,0.0,0.375,0.027298092444418755,3535.43017578125,0.125,0.036937639117240906,0.453857421875,2.842903420858665e-05
22,,0.21092847484727664,0.21092788121389855,0.625,0.0026546949092817675,0.0,0.5,0.028401044081871517,3265.17822265625,0.093505859375,0.03370301052927971,0.509765625,2.881815441171583e-05
23,,0.18330544906550056,0.18324688654942764,0.75,0.0026481956258924107,0.0,0.375,0.026692994607015567,3250.885009765625,0.0888671875,0.033884353935718536,0.45849609375,4.1010190060294524e-05
24,,0.15053257736430864,0.15046507541315082,0.625,0.002641486145779218,0.0,0.5,0.02740419941769856,3563.58740234375,0.113037109375,0.03494308143854141,0.447998046875,2.741552948002233e-05
25,,0.2430878714485044,0.2430734373407416,0.5,0.002601412073591852,0.0,0.25,0.028657989494274456,3341.06884765625,0.0908203125,0.03266243264079094,0.501953125,3.159250713453688e-05
26,,0.20066079580354,0.20066042556329672,0.5,0.002480252319245973,0.0,0.375,0.025039933084282984,3366.755615234375,0.11083984375,0.03150375187397003,0.510986328125,4.569644647551105e-05
27,,0.21244767092308559,0.21243645192702532,0.625,0.0026546881885311036,0.0,0.375,0.02921592961726785,3474.349853515625,0.111083984375,0.03290306031703949,0.47705078125,2.0402270847282484e-05
28,,0.20586816109514056,0.20589112891881667,0.625,0.0026629459883454284,0.0,0.5,0.029809701634889642,3452.981689453125,0.095947265625,0.033483635634183884,0.474853515625,3.0260287742347085e-05
29,,0.17055379773473275,0.17052778612457697,0.75,0.002665766589623602,0.0,0.625,0.02919617483667208,3328.963623046875,0.09423828125,0.032549142837524414,0.48828125,2.9120401410409614e-05
30,0.26666666666666666,0.1868863986652224,0.18672110094405187,0.625,0.002729702788140693,0.0,0.5,0.030304805072824244,3483.7412109375,0.09912109375,0.03218064457178116,0.48291015625,2.9371038618286602e-05
31,,0.22475967817560827,0.22475785225161482,0.5,0.0025497535020527003,0.0,0.375,0.029550002073563494,3370.033203125,0.080810546875,0.031333088874816895,0.493408203125,4.1526850409413674e-05
32,,0.20173959217600448,0.2016341087351993,0.5,0.0026150993873640233,0.0,0.375,0.02863484425314203,3396.874267578125,0.089599609375,0.030220050364732742,0.4951171875,5.628172469987296e-05
33,,0.17300771628009912,0.18744476296966625,0.625,0.0025590788309569736,0.0,0.375,0.029140755300041156,3488.900634765625,0.09765625,0.0303704384714365,0.494873046875,3.439102231951689e-05
34,,0.16354757089952193,0.16342650142962256,0.625,0.0026215541638810055,0.0,0.625,0.02995553659575223,3485.978271484375,0.100341796875,0.030793756246566772,0.470458984375,3.790299451921891e-05
35,,0.19606269530961,0.1978370511777852,0.625,0.0027348415461933683,0.0,0.5,0.02913956372924932,3321.33349609375,0.08544921875,0.028120577335357666,0.518310546875,3.96169187031496e-05
36,,0.1967331113452759,0.19668872935525297,0.5,0.002558973392215242,0.0,0.375,0.029845825653412962,3530.00146484375,0.1005859375,0.02819032594561577,0.521728515625,5.554154521684287e-05
37,,0.18784276077365153,0.18853802865854777,0.625,0.0025528431116759176,0.0,0.625,0.030167810206391213,3399.781005859375,0.084228515625,0.027499718591570854,0.518798828125,3.69279647268481e-05
38,,0.16353596209307736,0.16334060388286645,0.625,0.0024743881472881965,0.0,0.5,0.03126454395107095,3378.8408203125,0.083984375,0.02612028643488884,0.521240234375,4.477916354283639e-05
39,,0.2019772963861579,0.2018342634323521,0.625,0.002674245891272216,0.0,0.5,0.031631756165430513,3459.856201171875,0.0849609375,0.02938828431069851,0.454833984375,5.101132735058449e-05
40,0.2833333333333333,0.20576935528990875,0.20575331293718782,0.625,0.002435103209129089,0.0,0.5,0.03606715788926085,3542.78662109375,0.0908203125,0.02670087292790413,0.513916015625,2.7243677119085963e-05
41,,0.17948910515593713,0.1794861280625078,0.5,0.0026703175995618725,0.0,0.5,0.03060368845973506,3354.86865234375,0.072265625,0.02617037110030651,0.516845703125,3.722898186559228e-05
42,,0.2150925022962994,0.21509191718881135,0.5,0.0025013932924361102,0.0,0.5,0.031923315436825084,3336.66064453125,0.07958984375,0.02516375482082367,0.54736328125,4.953770401077574e-05
43,,0.17560207969514274,0.17643842326998177,0.5,0.0026858777501346095,0.0,0.5,0.033608596816434355,3252.944091796875,0.06298828125,0.0258017648011446,0.51513671875,6.161628472540936e-05
44,,0.22933743498067663,0.22942682003054743,0.625,0.0026390856549746555,0.0,0.5,0.03194530183296229,3429.452880859375,0.08154296875,0.025621116161346436,0.496337890625,5.204155898779882e-05
45,,0.2642189660499301,0.2639849348171075,0.625,0.0025190543014804844,0.0,0.375,0.030363986749168785,3412.244873046875,0.08203125,0.024904297664761543,0.519287109375,5.211840756649389e-05
46,,0.21128893263166382,0.21110975944738838,0.5,0.00263678993340562,0.0,0.375,0.03535036143744896,3352.0390625,0.0673828125,0.024155039340257645,0.520263671875,6.962082063209395e-05
47,,0.17186499517266185,0.1718515431253213,0.5,0.0030304665421178665,0.0,0.375,0.03519613221498171,3455.797119140625,0.082275390625,0.024736221879720688,0.49169921875,7.829660460484699e-05
48,,0.19120470749139942,0.19119681157603763,0.5,0.0030192641844765684,0.0,0.375,0.041392603242002696,3430.944580078125,0.081298828125,0.0247360747307539,0.496337890625,0.00015650183864193912
49,,0.15740580984020225,0.15732568119552842,0.75,0.0029361388577943083,0.0,0.625,0.038114858514928567,3447.740234375,0.082275390625,0.023900620639324188,0.51025390625,0.00010184541718955368
50,0.27708333333333335,0.19605630212623623,0.2046271681716874,0.625,0.002754061168140193,0.0,0.5,0.03644818306545945,3400.8017578125,0.0712890625,0.023874696344137192,0.51025390625,7.251844338504396e-05
51,,0.229788767370881,0.22977390056596975,0.625,0.002600446648215824,0.0,0.375,0.033676957996676984,3355.543212890625,0.073974609375,0.02174684777855873,0.54443359375,7.263370109872516e-05
52,,0.18326074632653824,0.1832197530984367,0.5,0.0027628856566873448,0.0,0.375,0.03607678820850096,3332.072998046875,0.065185546875,0.02235390432178974,0.50048828125,7.291695875566651e-05
53,,0.21539787332582094,0.21527668756113721,0.625,0.0025953948529961876,0.0,0.5,0.03500744865341778,3428.316162109375,0.072509765625,0.022280337288975716,0.51611328125,7.7882109360331e-05
54,,0.17550772969488096,0.17550209421791915,0.75,0.002471026882896221,0.0,0.5,0.03661926296134825,3244.768310546875,0.06787109375,0.020928027108311653,0.55419921875,6.037025308778255e-05
55,,0.20742405729608226,0.21793640404833747,0.625,0.0024032259332068782,0.0,0.375,0.033859091451729,3183.21044921875,0.05712890625,0.0202941931784153,0.590576171875,4.4972712686156505e-05
56,,0.18264095871275965,0.18258553819404832,0.625,0.0024703370641327785,0.0,0.625,0.03361977901325259,3271.664794921875,0.0615234375,0.020140470936894417,0.56689453125,2.9085280888283126e-05
57,,0.13707122842330993,0.21936116558622537,0.75,0.0023811303169444242,0.0,0.625,0.03422463423992565,3309.4873046875,0.0556640625,0.02122160792350769,0.540771484375,5.0286574592879013e-05
58,,0.16571944699789398,0.17661344043599791,0.625,0.0026557986000297976,0.0,0.375,0.034228989576283356,3469.817138671875,0.073974609375,0.022003350779414177,0.5234375,5.473724933115914e-05
59,,0.22827386323351948,0.23102694346641853,0.5,0.002563950559997722,0.0,0.375,0.03520478674053741,3100.661865234375,0.0556640625,0.01891648769378662,0.5537109375,6.360187276665039e-05
