method,step,mean_population_gain,population_gain_se,mean_population_value,population_value_se,mean_relative_improvement_pct,relative_improvement_pct_se,learning_rate,rollout_perturbation,population_ess
Unclipped,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,2.0,0.0,1.0
Unclipped,1,0.02312319393711305,7.070794097484436e-05,0.44466075904865726,7.070794097484437e-05,5.485440883778498,0.016773817288652352,2.0,0.0,1.0
Unclipped,2,0.04218012895569326,8.661177881761403e-05,0.46371769406723734,8.661177881761403e-05,10.00625625014745,0.020546633559145662,2.0,0.0,1.0
Unclipped,3,0.05944857266941189,0.00010733026551844747,0.4809861377809561,0.00010733026551844747,14.102793579898638,0.025461613483971832,2.0,0.0,1.0
Unclipped,4,0.07563162122805613,0.000129615283771096,0.4971691863396003,0.00012961528377109603,17.941846109976712,0.030748216647500486,2.0,0.0,1.0
Unclipped,5,0.09090516373500115,0.00015007728008830222,0.5124427288465454,0.0001500772800883022,21.565139446337717,0.03560235018404347,2.0,0.0,1.0
Unclipped,6,0.1053304078921079,0.00016855864294565453,0.5268679730036521,0.00016855864294565453,24.987193695118524,0.03998662441888229,2.0,0.0,1.0
Unclipped,7,0.11895340309742995,0.00018558703537291298,0.5404909682089741,0.00018558703537291296,28.21893300682547,0.04402621515446774,2.0,0.0,1.0
Unclipped,8,0.13182160393504122,0.0002017167133126959,0.5533591690465854,0.0002017167133126959,31.271614879722417,0.047852606744388036,2.0,0.0,1.0
Unclipped,9,0.1439842156846046,0.0002173382966324092,0.5655217807961488,0.00021733829663240917,34.15691212395378,0.051558464682714286,2.0,0.0,1.0
Unclipped,10,0.15549011470849983,0.0002326319417688444,0.577027679820044,0.0002326319417688444,36.886419521675414,0.05518652690117595,2.0,0.0,1.0
Unclipped,11,0.16638602861371152,0.00024759132204024725,0.5879235937252557,0.00024759132204024725,39.47122211271578,0.0587352925414207,2.0,0.0,1.0
Unclipped,12,0.17671537933957168,0.0002620788162726701,0.5982529444511158,0.0002620788162726701,41.92162074400429,0.06217211417523863,2.0,0.0,1.0
Unclipped,13,0.1865177111714294,0.00027588416503234484,0.6080552762829735,0.0002758841650323449,44.24699637909482,0.06544711263380346,2.0,0.0,1.0
Unclipped,14,0.19582855566383903,0.0002887721266856088,0.6173661207753832,0.0002887721266856088,46.4557780543284,0.06850448230140439,2.0,0.0,1.0
Unclipped,15,0.20467961243537314,0.0003005155022138578,0.6262171775469174,0.00030051550221385785,48.55548576820486,0.0712903254860187,2.0,0.0,1.0
Unclipped,16,0.21309915517934463,0.0003109157363286533,0.6346367202908888,0.0003109157363286533,50.55282679799982,0.07375753955555091,2.0,0.0,1.0
PPO masked,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,2.0,0.0,1.0
PPO masked,1,0.02312319393711305,7.070794097484436e-05,0.44466075904865726,7.070794097484437e-05,5.485440883778498,0.016773817288652352,2.0,0.0,1.0
PPO masked,2,0.03633209914032315,0.00018371303994081935,0.4578696642518673,0.00018371303994081935,8.61894695688846,0.04358165324891189,2.0,0.0,1.0
PPO masked,3,0.053371765797701,0.00015868516255918117,0.4749093309092452,0.0001586851625591812,12.661212241802971,0.03764437044114705,2.0,0.0,1.0
PPO masked,4,0.05992935261591442,0.0003437440518012783,0.4814669177274586,0.0003437440518012783,14.216847459385109,0.0815452951886552,2.0,0.0,1.0
PPO masked,5,0.07342990111877336,0.0003145994795384086,0.4949674662303176,0.0003145994795384086,17.41953913391868,0.07463142210236035,2.0,0.0,1.0
PPO masked,6,0.07738474039389392,0.00033050801593980837,0.49892230550543815,0.00033050801593980837,18.357732927886733,0.07840535299679681,2.0,0.0,1.0
PPO masked,7,0.08737661098583165,0.0003087422854855408,0.5089141760973759,0.0003087422854855408,20.728072233066747,0.07324193880653168,2.0,0.0,1.0
PPO masked,8,0.09333127513455054,0.00028279129125845286,0.5148688402460947,0.00028279129125845286,22.14067804606071,0.06708566796024992,2.0,0.0,1.0
PPO masked,9,0.09808203584642929,0.00026431438642852614,0.5196196009579734,0.0002643143864285262,23.267685721075782,0.0627024512889107,2.0,0.0,1.0
PPO masked,10,0.10312315637236871,0.0003459123137827671,0.524660721483913,0.0003459123137827671,24.463574520358826,0.08205966500072996,2.0,0.0,1.0
PPO masked,11,0.10822729397989463,0.0003084186690657426,0.5297648590914388,0.0003084186690657426,25.674412659108167,0.07316516832470936,2.0,0.0,1.0
PPO masked,12,0.11193597375413102,0.0002707379804520777,0.5334735388656753,0.0002707379804520777,26.554210826859844,0.0642262998270242,2.0,0.0,1.0
PPO masked,13,0.11524936370111093,0.00029941975105969034,0.5367869288126551,0.00029941975105969034,27.3402356609937,0.07103038396600789,2.0,0.0,1.0
PPO masked,14,0.11830354817838544,0.0002807680467569968,0.5398411132899297,0.0002807680467569968,28.064770015711606,0.06660570017827522,2.0,0.0,1.0
PPO masked,15,0.12126113157698759,0.00031167786436844564,0.5427986966885318,0.00031167786436844564,28.7663880074129,0.07393833673778795,2.0,0.0,1.0
PPO masked,16,0.12351579827350856,0.0002735694642055222,0.5450533633850526,0.0002735694642055222,29.301255331971355,0.06489800360571239,2.0,0.0,1.0
ESS gated,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,2.0,0.0,1.0
ESS gated,1,0.02312319393711305,7.070794097484436e-05,0.44466075904865726,7.070794097484437e-05,5.485440883778498,0.016773817288652352,2.0,0.0,1.0
ESS gated,2,0.04218012895569326,8.661177881761403e-05,0.46371769406723734,8.661177881761403e-05,10.00625625014745,0.020546633559145662,2.0,0.0,1.0
ESS gated,3,0.05944857266941189,0.00010733026551844747,0.4809861377809561,0.00010733026551844747,14.102793579898638,0.025461613483971832,2.0,0.0,1.0
ESS gated,4,0.07563162122805613,0.000129615283771096,0.4971691863396003,0.00012961528377109603,17.941846109976712,0.030748216647500486,2.0,0.0,1.0
ESS gated,5,0.09090516373500115,0.00015007728008830222,0.5124427288465454,0.0001500772800883022,21.565139446337717,0.03560235018404347,2.0,0.0,1.0
ESS gated,6,0.1053304078921079,0.00016855864294565453,0.5268679730036521,0.00016855864294565453,24.987193695118524,0.03998662441888229,2.0,0.0,1.0
ESS gated,7,0.11895340309742995,0.00018558703537291298,0.5404909682089741,0.00018558703537291296,28.21893300682547,0.04402621515446774,2.0,0.0,1.0
ESS gated,8,0.13182160393504122,0.0002017167133126959,0.5533591690465854,0.0002017167133126959,31.271614879722417,0.047852606744388036,2.0,0.0,1.0
ESS gated,9,0.1439842156846046,0.0002173382966324092,0.5655217807961488,0.00021733829663240917,34.15691212395378,0.051558464682714286,2.0,0.0,1.0
ESS gated,10,0.15549011470849983,0.0002326319417688444,0.577027679820044,0.0002326319417688444,36.886419521675414,0.05518652690117595,2.0,0.0,1.0
ESS gated,11,0.16638602861371152,0.00024759132204024725,0.5879235937252557,0.00024759132204024725,39.47122211271578,0.0587352925414207,2.0,0.0,1.0
ESS gated,12,0.17671537933957168,0.0002620788162726701,0.5982529444511158,0.0002620788162726701,41.92162074400429,0.06217211417523863,2.0,0.0,1.0
ESS gated,13,0.1865177111714294,0.00027588416503234484,0.6080552762829735,0.0002758841650323449,44.24699637909482,0.06544711263380346,2.0,0.0,1.0
ESS gated,14,0.19582855566383903,0.0002887721266856088,0.6173661207753832,0.0002887721266856088,46.4557780543284,0.06850448230140439,2.0,0.0,1.0
ESS gated,15,0.20467961243537314,0.0003005155022138578,0.6262171775469174,0.00030051550221385785,48.55548576820486,0.0712903254860187,2.0,0.0,1.0
ESS gated,16,0.21309915517934463,0.0003109157363286533,0.6346367202908888,0.0003109157363286533,50.55282679799982,0.07375753955555091,2.0,0.0,1.0
Unclipped,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,5.0,0.0,1.0
Unclipped,1,0.0505670194518725,0.00015525751479970553,0.47210458456341675,0.00015525751479970553,11.995851292278502,0.0368312405938537,5.0,0.0,1.0
Unclipped,2,0.09147469998309597,0.00016674552090894805,0.5130122650946402,0.00016674552090894805,21.700248697619777,0.03955650331301437,5.0,0.0,1.0
Unclipped,3,0.1262093696686486,0.00022127587439201973,0.5477469347801927,0.00022127587439201973,29.94024260572175,0.05249256358290804,5.0,0.0,1.0
Unclipped,4,0.1565805878019597,0.00025502542906898074,0.5781181529135039,0.0002550254290689807,37.14510894433014,0.06049886182777039,5.0,0.0,1.0
Unclipped,5,0.1828000480042475,0.0002992989284406927,0.6043376131157917,0.0002992989284406927,43.3650671099446,0.07100172160492849,5.0,0.0,1.0
Unclipped,6,0.20590769215248872,0.0003343098555125937,0.627445257264033,0.0003343098555125937,48.84681916735059,0.07930725116375596,5.0,0.0,1.0
Unclipped,7,0.22622725568903929,0.0003629207812364416,0.6477648208005834,0.0003629207812364416,53.66716383370879,0.08609452899895367,5.0,0.0,1.0
Unclipped,8,0.24423280565291916,0.00037903223283996303,0.6657703707644633,0.00037903223283996303,57.938562507066734,0.08991659681377775,5.0,0.0,1.0
Unclipped,9,0.2601957653484935,0.0003840536592746687,0.6817333304600376,0.0003840536592746687,61.72540406443787,0.09110781364717596,5.0,0.0,1.0
Unclipped,10,0.27439318411514035,0.00037886404064217,0.6959307492266845,0.00037886404064217,65.09341202901632,0.08987669711996314,5.0,0.0,1.0
Unclipped,11,0.28706310750712133,0.00036741822773594387,0.7086006726186657,0.00036741822773594387,68.09905718157309,0.08716144375856998,5.0,0.0,1.0
Unclipped,12,0.29840242548367707,0.00035348001557226856,0.7199399905952211,0.00035348001557226856,70.78904709351728,0.08385492654224855,5.0,0.0,1.0
Unclipped,13,0.30859204529180656,0.00034004272756321143,0.7301296104033507,0.0003400427275632114,73.20629780886769,0.08066724195107779,5.0,0.0,1.0
Unclipped,14,0.31778438340282245,0.0003279094961923513,0.7393219485143667,0.0003279094961923512,75.38696659661463,0.0777889145195357,5.0,0.0,1.0
Unclipped,15,0.3261162791699295,0.00031676132370474377,0.7476538442814739,0.0003167613237047438,77.36351541614921,0.07514426943679972,5.0,0.0,1.0
Unclipped,16,0.3336993735988297,0.0003061979031719661,0.7552369387103739,0.00030619790317196617,79.16242850397653,0.07263834317848808,5.0,0.0,1.0
PPO masked,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,5.0,0.0,1.0
PPO masked,1,0.0505670194518725,0.00015525751479970553,0.47210458456341675,0.00015525751479970553,11.995851292278502,0.0368312405938537,5.0,0.0,1.0
PPO masked,2,0.0275298509792123,0.0007851916686001109,0.4490674160907565,0.0007851916686001109,6.530817952589244,0.1862684926768838,5.0,0.0,1.0
PPO masked,3,0.06751338569340996,0.0008071896490304119,0.4890509508049541,0.0008071896490304119,16.015983219797995,0.1914870027815479,5.0,0.0,1.0
PPO masked,4,0.08281159853865201,0.001252898126654011,0.5043491636501962,0.001252898126654011,19.64512902112034,0.2972209905711436,5.0,0.0,1.0
PPO masked,5,0.09172686186121412,0.0011648881688392234,0.5132644269727583,0.0011648881688392234,21.76006824847082,0.2763426715080492,5.0,0.0,1.0
PPO masked,6,0.1127710395203167,0.0013248891540473446,0.5343086046318607,0.0013248891540473446,26.75231079120459,0.3142991903216887,5.0,0.0,1.0
PPO masked,7,0.12965936616634738,0.001162698998009267,0.5511969312778916,0.001162698998009267,30.75867417226217,0.2758233415571403,5.0,0.0,1.0
PPO masked,8,0.14118274771717976,0.0010049146182236424,0.5627203128287239,0.0010049146182236424,33.4923288935877,0.2383926609145093,5.0,0.0,1.0
PPO masked,9,0.15138751690705982,0.000979885748301983,0.572925082018604,0.000979885748301983,35.9131734480178,0.23245514264966946,5.0,0.0,1.0
PPO masked,10,0.16205148933074626,0.0009442220464362458,0.5835890544422904,0.0009442220464362458,38.44295330781858,0.2239947574272278,5.0,0.0,1.0
PPO masked,11,0.16991674096163809,0.0009695292049677397,0.5914543060731823,0.0009695292049677395,40.30880164064998,0.2299982932034041,5.0,0.0,1.0
PPO masked,12,0.17696250334325334,0.0009725738451086508,0.5985000684547974,0.0009725738451086508,41.9802451761154,0.2307205633859216,5.0,0.0,1.0
PPO masked,13,0.1818195523110178,0.0008830801777158503,0.6033571174225619,0.0008830801777158503,43.13246727202261,0.2094902686744362,5.0,0.0,1.0
PPO masked,14,0.18621288201977765,0.0008358727172295981,0.6077504471313219,0.0008358727172295981,44.17468274043462,0.19829139474400476,5.0,0.0,1.0
PPO masked,15,0.19081300395338754,0.0008396416993435178,0.6123505690649318,0.0008396416993435178,45.26595486285926,0.19918549824173748,5.0,0.0,1.0
PPO masked,16,0.19524660283288767,0.0006929971975772615,0.6167841679444318,0.0006929971975772613,46.31772325705372,0.16439749501183498,5.0,0.0,1.0
ESS gated,0,0.0,0.0,0.42153756511154405,1.1158161231197418e-17,0.0,0.0,5.0,0.0,1.0
ESS gated,1,0.0505670194518725,0.00015525751479970553,0.47210458456341675,0.00015525751479970553,11.995851292278502,0.0368312405938537,5.0,0.0,1.0
ESS gated,2,0.09147469998309597,0.00016674552090894805,0.5130122650946402,0.00016674552090894805,21.700248697619777,0.03955650331301437,5.0,0.0,1.0
ESS gated,3,0.1262093696686486,0.00022127587439201973,0.5477469347801927,0.00022127587439201973,29.94024260572175,0.05249256358290804,5.0,0.0,1.0
ESS gated,4,0.1565805878019597,0.00025502542906898074,0.5781181529135039,0.0002550254290689807,37.14510894433014,0.06049886182777039,5.0,0.0,1.0
ESS gated,5,0.1828000480042475,0.0002992989284406927,0.6043376131157917,0.0002992989284406927,43.3650671099446,0.07100172160492849,5.0,0.0,1.0
ESS gated,6,0.20590769215248872,0.0003343098555125937,0.627445257264033,0.0003343098555125937,48.84681916735059,0.07930725116375596,5.0,0.0,1.0
ESS gated,7,0.22622725568903929,0.0003629207812364416,0.6477648208005834,0.0003629207812364416,53.66716383370879,0.08609452899895367,5.0,0.0,1.0
ESS gated,8,0.24423280565291916,0.00037903223283996303,0.6657703707644633,0.00037903223283996303,57.938562507066734,0.08991659681377775,5.0,0.0,1.0
ESS gated,9,0.2601957653484935,0.0003840536592746687,0.6817333304600376,0.0003840536592746687,61.72540406443787,0.09110781364717596,5.0,0.0,1.0
ESS gated,10,0.27439318411514035,0.00037886404064217,0.6959307492266845,0.00037886404064217,65.09341202901632,0.08987669711996314,5.0,0.0,1.0
