method,final_population_gain,final_population_gain_se,final_relative_improvement_pct,final_relative_improvement_pct_se,difference_from_unclipped,difference_from_unclipped_se,relative_difference_from_unclipped_pct,relative_difference_from_unclipped_pct_se,difference_from_ppo,difference_from_ppo_se,relative_difference_from_ppo_pct,relative_difference_from_ppo_pct_se,mean_gate_raw_updates,mean_gate_clipped_updates,mean_gate_ess,rollout_perturbation,population_ess,learning_rate,optimization_steps,repetitions
Unclipped,0.21309915517934463,0.0003109157363286533,50.55282679799982,0.07375753955555091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,2.0,16,100
PPO masked,0.12351579827350856,0.0002735694642055222,29.301255331971355,0.06489800360571239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,2.0,16,100
ESS gated,0.21309915517934463,0.0003109157363286533,50.55282679799982,0.07375753955555091,0.0,0.0,0.0,0.0,0.0895833569058361,0.00032044515149931227,21.25157146602847,0.07601817204939218,16.0,0.0,0.8738518010424338,0.0,1.0,2.0,16,100
Unclipped,0.3336993735988297,0.0003061979031719661,79.16242850397653,0.07263834317848808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,5.0,16,100
PPO masked,0.19524660283288767,0.0006929971975772615,46.31772325705372,0.16439749501183498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,5.0,16,100
ESS gated,0.3336993735988297,0.0003061979031719661,79.16242850397653,0.07263834317848808,0.0,0.0,0.0,0.0,0.13845277076594203,0.0007597105655382973,32.84470524692282,0.18022369259955948,16.0,0.0,0.7650754355349788,0.0,1.0,5.0,16,100
Unclipped,0.16248539046340824,0.002376341763079554,38.54588627716075,0.5637319090294466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,0.0025310530098126473,2.0,16,100
PPO masked,0.07948776540639114,0.0013236790641593947,18.856626783750027,0.314012124591822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,0.0025310530098126473,2.0,16,100
ESS gated,0.08776478818565739,0.0023798712845756803,20.82015826096868,0.5645692060554404,-0.07472060227775086,0.002759863559440168,-17.725728016192065,0.6547135505491363,0.008277022779266252,0.0018906499985397083,1.9635314772186547,0.44851281475695254,1.46,14.54,0.06158910363468854,2.5,0.0025310530098126473,2.0,16,100
Unclipped,0.2621644908760303,0.004202656557800313,62.19243848567997,0.996982690424811,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,0.0025310530098126473,5.0,16,100
PPO masked,0.15437211674014775,0.0023457258817464214,36.6212004615292,0.5564690020273074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,0.0025310530098126473,5.0,16,100
ESS gated,0.1618394188185989,0.0029706379500655453,38.39264450269673,0.7047148809334411,-0.10032507205743135,0.0032972580695848847,-23.799793982983243,0.7821979207742465,0.007467302078451167,0.0016288000535045009,1.771444041167535,0.38639499496883506,0.86,15.14,0.05631967824887075,2.5,0.0025310530098126473,5.0,16,100
