method,threshold,replications,mean_final_value,se_final_value,median_final_value,mean_ppo_fraction,se_ppo_fraction
ess_0.01,0.01,100.0,0.32156869307786196,0.020947549710974872,0.32415092277568325,0.0,0.0
ess_0.03,0.03,100.0,0.2944801761102614,0.019838592382343624,0.24613937545404738,0.01638888888888889,0.0022280017436140673
ess_0.05,0.05,100.0,0.3147818502023554,0.019428522358595875,0.2983888053479841,0.038055555555555565,0.0032173276421205085
ess_0.10,0.1,100.0,0.3396224578665017,0.019615967264853967,0.33367192740786733,0.08749999999999998,0.0050232499718147194
ess_0.20,0.2,100.0,0.3384382659267611,0.02057951714431226,0.35581817235159197,0.15680555555555556,0.006403739510876243
ess_0.40,0.4,100.0,0.35900912341577956,0.02089310701707498,0.40033401618882114,0.2943055555555556,0.008745634276889264
ess_0.60,0.6,100.0,0.33734878391652656,0.021308416145144417,0.3519049918927234,0.4391666666666666,0.012489520485604888
ess_0.80,0.8,100.0,0.42028619647714877,0.021074334321241384,0.47025078395031195,0.7133333333333334,0.009762263224516446
mse_oracle,nan,100.0,0.41602927655692423,0.02125641104654264,0.44945779186332757,0.8168055555555556,0.011031376011306604
ppo,nan,100.0,0.43921916486883894,0.021292433377675044,0.5123102159900204,1.0,0.0
raw,nan,100.0,0.32156869307786196,0.020947549710974872,0.32415092277568325,0.0,0.0
