replication,method,threshold,final_value,ppo_fraction
0.0,raw,nan,0.5845781362359426,0.0
0.0,ppo,nan,0.19239265033813935,1.0
0.0,mse_oracle,nan,0.2914057347288798,0.875
0.0,ess_0.01,0.01,0.5845781362359426,0.0
0.0,ess_0.03,0.03,0.21928503544132555,0.027777777777777776
0.0,ess_0.05,0.05,0.2979617066295297,0.027777777777777776
0.0,ess_0.10,0.1,0.4668395095713095,0.06944444444444445
0.0,ess_0.20,0.2,0.4759933981125505,0.20833333333333334
0.0,ess_0.40,0.4,0.33401529141987757,0.3333333333333333
0.0,ess_0.60,0.6,0.36148775553946727,0.3888888888888889
0.0,ess_0.80,0.8,0.3642841661290407,0.7638888888888888
1.0,raw,nan,0.3484956674085728,0.0
1.0,ppo,nan,0.5847972571238866,1.0
1.0,mse_oracle,nan,0.6328527004044493,0.8611111111111112
1.0,ess_0.01,0.01,0.3484956674085728,0.0
1.0,ess_0.03,0.03,0.3484956674085728,0.0
1.0,ess_0.05,0.05,0.3484956674085728,0.0
1.0,ess_0.10,0.1,0.28303460218658444,0.027777777777777776
1.0,ess_0.20,0.2,0.492119650588514,0.125
1.0,ess_0.40,0.4,0.4854111755952894,0.375
1.0,ess_0.60,0.6,0.4897561421626403,0.4027777777777778
1.0,ess_0.80,0.8,0.31550101631348415,0.6805555555555556
2.0,raw,nan,0.10114107370987498,0.0
2.0,ppo,nan,0.5638906099426347,1.0
2.0,mse_oracle,nan,0.5409079692128675,0.875
2.0,ess_0.01,0.01,0.10114107370987498,0.0
2.0,ess_0.03,0.03,0.10114107370999509,0.013888888888888888
2.0,ess_0.05,0.05,0.28394700990783484,0.1388888888888889
2.0,ess_0.10,0.1,0.34167686875142794,0.19444444444444445
2.0,ess_0.20,0.2,0.44313341675317497,0.19444444444444445
2.0,ess_0.40,0.4,0.09857651272007552,0.2777777777777778
2.0,ess_0.60,0.6,0.10107407475872429,0.2916666666666667
2.0,ess_0.80,0.8,0.5042557894127643,0.6388888888888888
3.0,raw,nan,0.10129658561577441,0.0
3.0,ppo,nan,0.3350204765008964,1.0
3.0,mse_oracle,nan,0.2856421159171421,0.8333333333333334
3.0,ess_0.01,0.01,0.10129658561577441,0.0
3.0,ess_0.03,0.03,0.36442913685762746,0.013888888888888888
3.0,ess_0.05,0.05,0.4321422728397604,0.06944444444444445
3.0,ess_0.10,0.1,0.10160142354411493,0.1111111111111111
3.0,ess_0.20,0.2,0.20464753243135314,0.09722222222222222
3.0,ess_0.40,0.4,0.16635499130663278,0.20833333333333334
3.0,ess_0.60,0.6,0.46467144186345094,0.3888888888888889
3.0,ess_0.80,0.8,0.4418203765532035,0.7083333333333334
4.0,raw,nan,0.6092228044487693,0.0
4.0,ppo,nan,0.5758621608104507,1.0
4.0,mse_oracle,nan,0.6525912960296926,0.8333333333333334
4.0,ess_0.01,0.01,0.6092228044487693,0.0
4.0,ess_0.03,0.03,0.47264929559889496,0.027777777777777776
4.0,ess_0.05,0.05,0.5890066372387008,0.08333333333333333
4.0,ess_0.10,0.1,0.5384969397930596,0.125
4.0,ess_0.20,0.2,0.18686735123486573,0.19444444444444445
4.0,ess_0.40,0.4,0.423358215030239,0.5277777777777778
4.0,ess_0.60,0.6,0.5858844029008919,0.4444444444444444
4.0,ess_0.80,0.8,0.4888035562237237,0.7083333333333334
5.0,raw,nan,0.46283801248090367,0.0
5.0,ppo,nan,0.10787906994544581,1.0
5.0,mse_oracle,nan,0.5894113324785955,0.8611111111111112
5.0,ess_0.01,0.01,0.46283801248090367,0.0
5.0,ess_0.03,0.03,0.5421159923318082,0.013888888888888888
5.0,ess_0.05,0.05,0.5369946697239291,0.027777777777777776
5.0,ess_0.10,0.1,0.10106813878270167,0.05555555555555555
5.0,ess_0.20,0.2,0.628989980273761,0.2222222222222222
5.0,ess_0.40,0.4,0.09928874671723989,0.2916666666666667
5.0,ess_0.60,0.6,0.5910628791901619,0.6944444444444444
5.0,ess_0.80,0.8,0.42303507097437343,0.8194444444444444
6.0,raw,nan,0.34927039476214605,0.0
6.0,ppo,nan,0.5327714108402901,1.0
6.0,mse_oracle,nan,0.1008130411729923,0.8611111111111112
6.0,ess_0.01,0.01,0.34927039476214605,0.0
6.0,ess_0.03,0.03,0.34927039476214605,0.0
6.0,ess_0.05,0.05,0.34927039476214605,0.0
6.0,ess_0.10,0.1,0.22902507749760476,0.027777777777777776
6.0,ess_0.20,0.2,0.09928827981445291,0.20833333333333334
6.0,ess_0.40,0.4,0.2759267538661129,0.4722222222222222
6.0,ess_0.60,0.6,0.4679244355100253,0.7638888888888888
6.0,ess_0.80,0.8,0.10071350365699368,0.8194444444444444
7.0,raw,nan,0.10071174379978154,0.0
7.0,ppo,nan,0.15580920077982496,1.0
7.0,mse_oracle,nan,0.12151080695634968,0.8472222222222222
7.0,ess_0.01,0.01,0.10071174379978154,0.0
7.0,ess_0.03,0.03,0.10071174379978154,0.0
7.0,ess_0.05,0.05,0.1007117454461148,0.027777777777777776
7.0,ess_0.10,0.1,0.5734917959067912,0.09722222222222222
7.0,ess_0.20,0.2,0.43587092619604556,0.2777777777777778
7.0,ess_0.40,0.4,0.3790335012861804,0.2638888888888889
7.0,ess_0.60,0.6,0.512069508807051,0.5694444444444444
7.0,ess_0.80,0.8,0.6681382628907705,0.75
8.0,raw,nan,0.11639433628648307,0.0
8.0,ppo,nan,0.3961311408415908,1.0
8.0,mse_oracle,nan,0.14293291886296966,0.875
8.0,ess_0.01,0.01,0.11639433628648307,0.0
8.0,ess_0.03,0.03,0.11639433628648307,0.0
8.0,ess_0.05,0.05,0.11639433628648307,0.0
8.0,ess_0.10,0.1,0.1163944815217914,0.013888888888888888
8.0,ess_0.20,0.2,0.11640226675678574,0.027777777777777776
8.0,ess_0.40,0.4,0.47131655744787804,0.375
8.0,ess_0.60,0.6,0.10115489304868311,0.5416666666666666
8.0,ess_0.80,0.8,0.5402410922437284,0.7916666666666666
9.0,raw,nan,0.3433721007280393,0.0
9.0,ppo,nan,0.09863544709612533,1.0
9.0,mse_oracle,nan,0.5395224926184585,0.8194444444444444
9.0,ess_0.01,0.01,0.3433721007280393,0.0
9.0,ess_0.03,0.03,0.34341809039125076,0.013888888888888888
9.0,ess_0.05,0.05,0.2196585853324047,0.05555555555555555
9.0,ess_0.10,0.1,0.5243239012773371,0.027777777777777776
9.0,ess_0.20,0.2,0.5636045382867901,0.16666666666666666
9.0,ess_0.40,0.4,0.10071174377227739,0.2222222222222222
9.0,ess_0.60,0.6,0.26084113884504523,0.3888888888888889
9.0,ess_0.80,0.8,0.39276105165532543,0.7777777777777778
10.0,raw,nan,0.09862765523132579,0.0
10.0,ppo,nan,0.19638703003280714,1.0
10.0,mse_oracle,nan,0.24297766465479062,0.8611111111111112
10.0,ess_0.01,0.01,0.09862765523132579,0.0
10.0,ess_0.03,0.03,0.09862765523132579,0.0
10.0,ess_0.05,0.05,0.5495188961884545,0.027777777777777776
10.0,ess_0.10,0.1,0.5494189829667167,0.05555555555555555
10.0,ess_0.20,0.2,0.6176040686615311,0.08333333333333333
10.0,ess_0.40,0.4,0.5916979534356444,0.3194444444444444
10.0,ess_0.60,0.6,0.6194705461870339,0.6388888888888888
10.0,ess_0.80,0.8,0.579009525704432,0.6944444444444444
11.0,raw,nan,0.09922385989395614,0.0
11.0,ppo,nan,0.5713237637514773,1.0
11.0,mse_oracle,nan,0.3139590302935369,0.8333333333333334
11.0,ess_0.01,0.01,0.09922385989395614,0.0
11.0,ess_0.03,0.03,0.0992238946167299,0.05555555555555555
11.0,ess_0.05,0.05,0.09857651245839737,0.1111111111111111
11.0,ess_0.10,0.1,0.09857651245839737,0.1111111111111111
11.0,ess_0.20,0.2,0.4254686183568033,0.16666666666666666
11.0,ess_0.40,0.4,0.10701136658062456,0.3055555555555556
11.0,ess_0.60,0.6,0.5879932822977609,0.5833333333333334
11.0,ess_0.80,0.8,0.4280073794951763,0.75
12.0,raw,nan,0.5382791426550303,0.0
12.0,ppo,nan,0.5831478578113874,1.0
12.0,mse_oracle,nan,0.1009330183761546,0.6805555555555556
12.0,ess_0.01,0.01,0.5382791426550303,0.0
12.0,ess_0.03,0.03,0.5382791426550303,0.0
12.0,ess_0.05,0.05,0.10072331457433888,0.013888888888888888
12.0,ess_0.10,0.1,0.5047143720592687,0.09722222222222222
12.0,ess_0.20,0.2,0.32725080778601623,0.2777777777777778
12.0,ess_0.40,0.4,0.10000024493582547,0.2777777777777778
12.0,ess_0.60,0.6,0.2058693990803229,0.4444444444444444
12.0,ess_0.80,0.8,0.3654058674890518,0.7222222222222222
13.0,raw,nan,0.09928825622788241,0.0
13.0,ppo,nan,0.5975996349811405,1.0
13.0,mse_oracle,nan,0.42922490593505935,0.875
13.0,ess_0.01,0.01,0.09928825622788241,0.0
13.0,ess_0.03,0.03,0.5623589468669484,0.013888888888888888
13.0,ess_0.05,0.05,0.2979948905495509,0.013888888888888888
13.0,ess_0.10,0.1,0.09860860286113465,0.08333333333333333
13.0,ess_0.20,0.2,0.7021038880363185,0.09722222222222222
13.0,ess_0.40,0.4,0.3882974723834826,0.2361111111111111
13.0,ess_0.60,0.6,0.6388839299705283,0.3888888888888889
13.0,ess_0.80,0.8,0.10000000000135506,0.6527777777777778
14.0,raw,nan,0.6534293523211173,0.0
14.0,ppo,nan,0.4356402433937088,1.0
14.0,mse_oracle,nan,0.10160142348754449,0.5694444444444444
14.0,ess_0.01,0.01,0.6534293523211173,0.0
14.0,ess_0.03,0.03,0.6534293523211173,0.0
14.0,ess_0.05,0.05,0.09857756016389345,0.05555555555555555
14.0,ess_0.10,0.1,0.09857756016389345,0.05555555555555555
14.0,ess_0.20,0.2,0.44923505719553236,0.1388888888888889
14.0,ess_0.40,0.4,0.6286774158798533,0.20833333333333334
14.0,ess_0.60,0.6,0.09929056596908588,0.3194444444444444
14.0,ess_0.80,0.8,0.09857651331728644,0.3611111111111111
15.0,raw,nan,0.514906765789494,0.0
15.0,ppo,nan,0.10166280503008483,1.0
15.0,mse_oracle,nan,0.32246096832850374,0.8472222222222222
15.0,ess_0.01,0.01,0.514906765789494,0.0
15.0,ess_0.03,0.03,0.5691066807704268,0.013888888888888888
15.0,ess_0.05,0.05,0.5679327808106511,0.027777777777777776
15.0,ess_0.10,0.1,0.5839108743920307,0.1111111111111111
15.0,ess_0.20,0.2,0.32454637957078697,0.2638888888888889
15.0,ess_0.40,0.4,0.30848536957302203,0.3194444444444444
15.0,ess_0.60,0.6,0.499557053407206,0.4027777777777778
15.0,ess_0.80,0.8,0.47796035547613136,0.7777777777777778
16.0,raw,nan,0.09857658692123034,0.0
16.0,ppo,nan,0.1391333539830517,1.0
16.0,mse_oracle,nan,0.6567556000565151,0.8333333333333334
16.0,ess_0.01,0.01,0.09857658692123034,0.0
16.0,ess_0.03,0.03,0.09857658692123544,0.013888888888888888
16.0,ess_0.05,0.05,0.09857658692123572,0.027777777777777776
16.0,ess_0.10,0.1,0.09857657111357863,0.05555555555555555
16.0,ess_0.20,0.2,0.09857657111357945,0.125
16.0,ess_0.40,0.4,0.6067187288067678,0.3472222222222222
16.0,ess_0.60,0.6,0.1286304982804237,0.4583333333333333
16.0,ess_0.80,0.8,0.5948416959810859,0.6805555555555556
17.0,raw,nan,0.2744312374230653,0.0
17.0,ppo,nan,0.1078580498867119,1.0
17.0,mse_oracle,nan,0.13485464667446306,0.8194444444444444
17.0,ess_0.01,0.01,0.2744312374230653,0.0
17.0,ess_0.03,0.03,0.2744312374230653,0.0
17.0,ess_0.05,0.05,0.2744312374230653,0.0
17.0,ess_0.10,0.1,0.4520092742063753,0.013888888888888888
17.0,ess_0.20,0.2,0.13977461803284646,0.1388888888888889
17.0,ess_0.40,0.4,0.09911032682445274,0.3333333333333333
17.0,ess_0.60,0.6,0.10177935943060498,0.4861111111111111
17.0,ess_0.80,0.8,0.5470773404619572,0.7222222222222222
18.0,raw,nan,0.31890731512326986,0.0
18.0,ppo,nan,0.5750518942415233,1.0
18.0,mse_oracle,nan,0.3773980366058371,0.8333333333333334
18.0,ess_0.01,0.01,0.31890731512326986,0.0
18.0,ess_0.03,0.03,0.31890731512326986,0.0
18.0,ess_0.05,0.05,0.30845807490938626,0.013888888888888888
18.0,ess_0.10,0.1,0.447692716897083,0.08333333333333333
18.0,ess_0.20,0.2,0.387854506958604,0.1527777777777778
18.0,ess_0.40,0.4,0.5276965323358536,0.2222222222222222
18.0,ess_0.60,0.6,0.31153498605243424,0.5833333333333334
18.0,ess_0.80,0.8,0.2967410671839434,0.6666666666666666
19.0,raw,nan,0.5008079064485973,0.0
19.0,ppo,nan,0.6409213022142389,1.0
19.0,mse_oracle,nan,0.5023087153362821,0.8611111111111112
19.0,ess_0.01,0.01,0.5008079064485973,0.0
19.0,ess_0.03,0.03,0.4493287780586376,0.013888888888888888
19.0,ess_0.05,0.05,0.44954460009235536,0.027777777777777776
19.0,ess_0.10,0.1,0.14627349713445828,0.1111111111111111
19.0,ess_0.20,0.2,0.09928839455494791,0.09722222222222222
19.0,ess_0.40,0.4,0.5953605875393356,0.20833333333333334
19.0,ess_0.60,0.6,0.10020543400825228,0.4444444444444444
19.0,ess_0.80,0.8,0.22005612768615715,0.75
20.0,raw,nan,0.10029971446716605,0.0
20.0,ppo,nan,0.5233131643462703,1.0
20.0,mse_oracle,nan,0.5588496269055414,0.8333333333333334
20.0,ess_0.01,0.01,0.10029971446716605,0.0
20.0,ess_0.03,0.03,0.10029997100597574,0.06944444444444445
20.0,ess_0.05,0.05,0.1003532371155428,0.08333333333333333
20.0,ess_0.10,0.1,0.1003532371155428,0.08333333333333333
20.0,ess_0.20,0.2,0.1003532442327381,0.09722222222222222
20.0,ess_0.40,0.4,0.49586136558219257,0.3055555555555556
20.0,ess_0.60,0.6,0.1024930914918958,0.3888888888888889
20.0,ess_0.80,0.8,0.554669722613908,0.8472222222222222
21.0,raw,nan,0.0985765129734111,0.0
21.0,ppo,nan,0.70192632044059,1.0
21.0,mse_oracle,nan,0.708685375386306,0.8611111111111112
