replication,method,threshold,final_value,ppo_fraction
0.0,raw,nan,0.5000256100477638,0.0
0.0,ppo,nan,0.49939426807655946,1.0
0.0,mse_oracle,nan,0.49939426807655946,0.55
1.0,raw,nan,0.49617466143613276,0.0
1.0,ppo,nan,0.4960566654329302,1.0
1.0,mse_oracle,nan,0.495882831619595,0.65
2.0,raw,nan,0.50204828246324,0.0
2.0,ppo,nan,0.5008505509656481,1.0
2.0,mse_oracle,nan,0.5010251231626881,0.625
3.0,raw,nan,0.502325546286252,0.0
3.0,ppo,nan,0.5010439255357206,1.0
3.0,mse_oracle,nan,0.5018727940180543,0.6
4.0,raw,nan,0.5020152040877093,0.0
4.0,ppo,nan,0.5009520531916808,1.0
4.0,mse_oracle,nan,0.5009520531916808,0.675
5.0,raw,nan,0.5009441331668509,0.0
5.0,ppo,nan,0.5012052889866835,1.0
5.0,mse_oracle,nan,0.5003680840240232,0.525
6.0,raw,nan,0.5002782428758592,0.0
6.0,ppo,nan,0.49904442563008605,1.0
6.0,mse_oracle,nan,0.49946153259090476,0.5
7.0,raw,nan,0.502830132964859,0.0
7.0,ppo,nan,0.5018482158479911,1.0
7.0,mse_oracle,nan,0.5018482158479911,0.575
8.0,raw,nan,0.5019546656321954,0.0
8.0,ppo,nan,0.5010150918189771,1.0
8.0,mse_oracle,nan,0.5010150918189771,0.525
9.0,raw,nan,0.5015788649193839,0.0
9.0,ppo,nan,0.5020121788669688,1.0
9.0,mse_oracle,nan,0.5020121788669688,0.6
10.0,raw,nan,0.5020296639096242,0.0
10.0,ppo,nan,0.5020930359662005,1.0
10.0,mse_oracle,nan,0.5021244728255114,0.6
11.0,raw,nan,0.5013508972452105,0.0
11.0,ppo,nan,0.5008309161613178,1.0
11.0,mse_oracle,nan,0.5008309161613178,0.575
12.0,raw,nan,0.4988868859920227,0.0
12.0,ppo,nan,0.49869751254673594,1.0
12.0,mse_oracle,nan,0.49869751254673594,0.6
13.0,raw,nan,0.5016703516634887,0.0
13.0,ppo,nan,0.5009876313497749,1.0
13.0,mse_oracle,nan,0.5009876313497749,0.625
14.0,raw,nan,0.4965834983907463,0.0
14.0,ppo,nan,0.4959950511097775,1.0
14.0,mse_oracle,nan,0.4959950511097775,0.55
15.0,raw,nan,0.5017235465706257,0.0
15.0,ppo,nan,0.5006057521482689,1.0
15.0,mse_oracle,nan,0.5006057521482689,0.725
16.0,raw,nan,0.5019496468307004,0.0
16.0,ppo,nan,0.5009429521195053,1.0
16.0,mse_oracle,nan,0.5009429521195053,0.575
17.0,raw,nan,0.502119553152457,0.0
17.0,ppo,nan,0.5001442595079033,1.0
17.0,mse_oracle,nan,0.5001442595079033,0.625
18.0,raw,nan,0.5019907969687145,0.0
18.0,ppo,nan,0.5003041311739701,1.0
18.0,mse_oracle,nan,0.5003041311739701,0.625
19.0,raw,nan,0.4993944747958945,0.0
19.0,ppo,nan,0.4988832584179957,1.0
19.0,mse_oracle,nan,0.4988832584179957,0.575
