replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
0.0,raw,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
0.0,raw,nan,1.0,1.0,1.0,0.44038017351797154,1.0,1.0,0.0,nan,nan
0.0,raw,nan,2.0,1.0,2.0,0.44280866549842424,0.998495522764861,0.9985075239601405,0.0,nan,nan
0.0,raw,nan,3.0,1.0,3.0,0.44379113886642935,0.9959161264457216,0.9962233767248895,0.0,nan,nan
0.0,raw,nan,4.0,1.0,4.0,0.44625141308244315,0.9958482685914727,0.9948475752774254,0.0,nan,nan
0.0,raw,nan,5.0,1.0,5.0,0.4479940322176205,0.9909823919004928,0.9929616843507213,0.0,nan,nan
0.0,raw,nan,6.0,1.0,6.0,0.4501794398179931,0.9903863124158518,0.993317026327689,0.0,nan,nan
0.0,raw,nan,7.0,1.0,7.0,0.44989645934170586,0.9870241875829991,0.9883795067422876,0.0,nan,nan
0.0,raw,nan,8.0,1.0,8.0,0.452145488250598,0.9844012394470868,0.988167559696104,0.0,nan,nan
0.0,raw,nan,9.0,2.0,1.0,0.453274049622084,1.0,1.0,0.0,nan,nan
0.0,raw,nan,10.0,2.0,2.0,0.4541480641184756,0.9992096432005121,0.9993214908488267,0.0,nan,nan
0.0,raw,nan,11.0,2.0,3.0,0.457525385347133,0.9982470220634431,0.9986094607618876,0.0,nan,nan
0.0,raw,nan,12.0,2.0,4.0,0.4586755699090525,0.9977864455653497,0.9964947353798805,0.0,nan,nan
0.0,raw,nan,13.0,2.0,5.0,0.4599078525019015,0.9982970107021517,0.997380799759526,0.0,nan,nan
0.0,raw,nan,14.0,2.0,6.0,0.46008202972865714,0.993408274503374,0.990669268046444,0.0,nan,nan
0.0,raw,nan,15.0,2.0,7.0,0.4614695741928008,0.9919986857335785,0.9907803696826759,0.0,nan,nan
0.0,raw,nan,16.0,2.0,8.0,0.46343585091538614,0.9927777154644338,0.9896896497586821,0.0,nan,nan
0.0,raw,nan,17.0,3.0,1.0,0.46501805682480374,1.0,1.0,0.0,nan,nan
0.0,raw,nan,18.0,3.0,2.0,0.4668563568085232,0.9990548162681636,0.9993122197107305,0.0,nan,nan
0.0,raw,nan,19.0,3.0,3.0,0.46932590920307654,0.9973512140439093,0.9981328496437376,0.0,nan,nan
0.0,raw,nan,20.0,3.0,4.0,0.47120275670931994,0.99389060822063,0.9946097337178439,0.0,nan,nan
0.0,raw,nan,21.0,3.0,5.0,0.47351854955840705,0.9903436570142705,0.9890858971077532,0.0,nan,nan
0.0,raw,nan,22.0,3.0,6.0,0.4740560745095725,0.9880092222861836,0.9888619541637483,0.0,nan,nan
0.0,raw,nan,23.0,3.0,7.0,0.4751184329231796,0.988903196626961,0.9876381911709464,0.0,nan,nan
0.0,raw,nan,24.0,3.0,8.0,0.47591045773492074,0.9922658910947378,0.9955879252260204,0.0,nan,nan
0.0,raw,nan,25.0,4.0,1.0,0.477450969508253,1.0,1.0,0.0,nan,nan
0.0,raw,nan,26.0,4.0,2.0,0.4786796907755583,0.9981458321318302,0.9985777762000471,0.0,nan,nan
0.0,raw,nan,27.0,4.0,3.0,0.48027897051462415,0.9972232922127543,0.9978370269265441,0.0,nan,nan
0.0,raw,nan,28.0,4.0,4.0,0.4820058777552862,0.9940325329910832,0.9948897017906543,0.0,nan,nan
0.0,raw,nan,29.0,4.0,5.0,0.4824328284146417,0.9917474033632093,0.9911269592345464,0.0,nan,nan
0.0,raw,nan,30.0,4.0,6.0,0.48382868748991553,0.9858431083987749,0.9857466968244682,0.0,nan,nan
