replication,method,threshold,final_value,ppo_fraction
0.0,raw,nan,0.4983912157458067,0.0
0.0,ppo,nan,0.49762431893991577,1.0
1.0,raw,nan,0.49932189607807514,0.0
1.0,ppo,nan,0.49934955712194007,1.0
2.0,raw,nan,0.5028646108409863,0.0
2.0,ppo,nan,0.5009979048355807,1.0
3.0,raw,nan,0.4950395377875881,0.0
3.0,ppo,nan,0.4959065127961191,1.0
4.0,raw,nan,0.49945303629578947,0.0
4.0,ppo,nan,0.4993963243742971,1.0
5.0,raw,nan,0.4983104528978147,0.0
5.0,ppo,nan,0.4972514560866472,1.0
6.0,raw,nan,0.5034985822624467,0.0
6.0,ppo,nan,0.5027532694235521,1.0
7.0,raw,nan,0.5014470420982403,0.0
7.0,ppo,nan,0.5014910288627487,1.0
8.0,raw,nan,0.5003470522041101,0.0
8.0,ppo,nan,0.4998944278273145,1.0
9.0,raw,nan,0.4949847180487637,0.0
9.0,ppo,nan,0.4959491834623103,1.0
10.0,raw,nan,0.4996279409551551,0.0
10.0,ppo,nan,0.49948665817757576,1.0
11.0,raw,nan,0.5015305477184302,0.0
11.0,ppo,nan,0.5007829133344246,1.0
12.0,raw,nan,0.502383125799306,0.0
12.0,ppo,nan,0.5011629879437967,1.0
13.0,raw,nan,0.497905711274341,0.0
13.0,ppo,nan,0.4982508964339651,1.0
14.0,raw,nan,0.49882377334712985,0.0
14.0,ppo,nan,0.49919973059600786,1.0
15.0,raw,nan,0.49959513062402483,0.0
15.0,ppo,nan,0.4991614282975402,1.0
16.0,raw,nan,0.5028010712818514,0.0
16.0,ppo,nan,0.5019039856746313,1.0
17.0,raw,nan,0.50045947481432,0.0
17.0,ppo,nan,0.5003687244734851,1.0
18.0,raw,nan,0.5001412291395984,0.0
18.0,ppo,nan,0.49880401083932707,1.0
19.0,raw,nan,0.500636394594196,0.0
19.0,ppo,nan,0.49927720066769243,1.0
20.0,raw,nan,0.4989924766046253,0.0
20.0,ppo,nan,0.4991026904725826,1.0
21.0,raw,nan,0.4994515827525135,0.0
21.0,ppo,nan,0.4987600124209826,1.0
22.0,raw,nan,0.5013776481087349,0.0
22.0,ppo,nan,0.5018579737801714,1.0
23.0,raw,nan,0.5015061478750863,0.0
23.0,ppo,nan,0.5005453822485997,1.0
24.0,raw,nan,0.4989011180913309,0.0
24.0,ppo,nan,0.49841974611674805,1.0
25.0,raw,nan,0.5021750781332428,0.0
25.0,ppo,nan,0.5017010305907237,1.0
26.0,raw,nan,0.5012252711719836,0.0
26.0,ppo,nan,0.5008424993480944,1.0
27.0,raw,nan,0.4980053065420619,0.0
27.0,ppo,nan,0.498324571046946,1.0
28.0,raw,nan,0.5004738744618872,0.0
28.0,ppo,nan,0.500123702437558,1.0
29.0,raw,nan,0.5015218905800373,0.0
29.0,ppo,nan,0.5007774906195377,1.0
30.0,raw,nan,0.49925216503811953,0.0
30.0,ppo,nan,0.4982139494143159,1.0
31.0,raw,nan,0.49980433127602286,0.0
31.0,ppo,nan,0.4990697958695848,1.0
32.0,raw,nan,0.5008262161919761,0.0
32.0,ppo,nan,0.5002180988091802,1.0
33.0,raw,nan,0.4993676027350935,0.0
33.0,ppo,nan,0.4988642707723831,1.0
34.0,raw,nan,0.4995665516691866,0.0
34.0,ppo,nan,0.49943951968240213,1.0
35.0,raw,nan,0.5004937995652463,0.0
35.0,ppo,nan,0.49988422766144613,1.0
36.0,raw,nan,0.49952817319621207,0.0
36.0,ppo,nan,0.498651679888957,1.0
37.0,raw,nan,0.49968512702238077,0.0
37.0,ppo,nan,0.5002272531298849,1.0
38.0,raw,nan,0.502100856370838,0.0
38.0,ppo,nan,0.5011701726788569,1.0
39.0,raw,nan,0.5008121390621864,0.0
39.0,ppo,nan,0.5001470576244064,1.0
40.0,raw,nan,0.5012698746245943,0.0
40.0,ppo,nan,0.5013531472990511,1.0
41.0,raw,nan,0.4994498922209464,0.0
41.0,ppo,nan,0.49884900586283043,1.0
42.0,raw,nan,0.5002261735402708,0.0
42.0,ppo,nan,0.4997665665239295,1.0
43.0,raw,nan,0.4985430094480611,0.0
43.0,ppo,nan,0.4970972730642559,1.0
44.0,raw,nan,0.5008760592215994,0.0
44.0,ppo,nan,0.5009349817845361,1.0
45.0,raw,nan,0.5014450668325031,0.0
45.0,ppo,nan,0.5010052259022799,1.0
46.0,raw,nan,0.5013016178630794,0.0
46.0,ppo,nan,0.5000563330018905,1.0
47.0,raw,nan,0.5016290506532599,0.0
47.0,ppo,nan,0.5012016179876295,1.0
48.0,raw,nan,0.49950800643931664,0.0
48.0,ppo,nan,0.4989139669602095,1.0
49.0,raw,nan,0.5018139629801747,0.0
49.0,ppo,nan,0.5026243011439584,1.0
50.0,raw,nan,0.4994394206789059,0.0
50.0,ppo,nan,0.49893977247144183,1.0
51.0,raw,nan,0.5045252648772409,0.0
51.0,ppo,nan,0.5031658709623081,1.0
52.0,raw,nan,0.5008083108637797,0.0
52.0,ppo,nan,0.5007117165015718,1.0
53.0,raw,nan,0.5003142630604133,0.0
53.0,ppo,nan,0.49973738236344567,1.0
54.0,raw,nan,0.5028621758556857,0.0
54.0,ppo,nan,0.5024068249846395,1.0
55.0,raw,nan,0.49815582445499945,0.0
55.0,ppo,nan,0.49857355430456013,1.0
56.0,raw,nan,0.5013317586202783,0.0
56.0,ppo,nan,0.5004331898830123,1.0
57.0,raw,nan,0.4994448457289192,0.0
57.0,ppo,nan,0.4976757109247882,1.0
58.0,raw,nan,0.5033467909191413,0.0
58.0,ppo,nan,0.5024477426406889,1.0
59.0,raw,nan,0.5009584263289123,0.0
59.0,ppo,nan,0.500356467783779,1.0
60.0,raw,nan,0.5008548159635045,0.0
60.0,ppo,nan,0.5004346661865668,1.0
61.0,raw,nan,0.5007042845538201,0.0
61.0,ppo,nan,0.5003561955683128,1.0
62.0,raw,nan,0.4987194965940973,0.0
62.0,ppo,nan,0.49811080402111263,1.0
63.0,raw,nan,0.5002252578677074,0.0
63.0,ppo,nan,0.49915831079329237,1.0
64.0,raw,nan,0.49976671320434785,0.0
64.0,ppo,nan,0.499363148237062,1.0
65.0,raw,nan,0.5004287749790589,0.0
65.0,ppo,nan,0.4997908221140352,1.0
66.0,raw,nan,0.503668041691341,0.0
66.0,ppo,nan,0.5027172777106507,1.0
67.0,raw,nan,0.5004452690136697,0.0
67.0,ppo,nan,0.5006961597099356,1.0
68.0,raw,nan,0.500335146603295,0.0
68.0,ppo,nan,0.5001887854596561,1.0
69.0,raw,nan,0.5025981815775573,0.0
69.0,ppo,nan,0.5023600698488905,1.0
70.0,raw,nan,0.4986446227333498,0.0
70.0,ppo,nan,0.49802479943905154,1.0
71.0,raw,nan,0.5000564746539332,0.0
71.0,ppo,nan,0.4999141522447231,1.0
72.0,raw,nan,0.5004943960097467,0.0
72.0,ppo,nan,0.500384258102827,1.0
73.0,raw,nan,0.5036152000605187,0.0
73.0,ppo,nan,0.5029505318600664,1.0
74.0,raw,nan,0.5008522402038581,0.0
74.0,ppo,nan,0.49978841892869036,1.0
75.0,raw,nan,0.5029347220607787,0.0
75.0,ppo,nan,0.5018208579511796,1.0
76.0,raw,nan,0.49679085138728635,0.0
76.0,ppo,nan,0.49589511330378816,1.0
77.0,raw,nan,0.4992756368261115,0.0
77.0,ppo,nan,0.49820310460413,1.0
78.0,raw,nan,0.49614680505323006,0.0
78.0,ppo,nan,0.4953385156052272,1.0
79.0,raw,nan,0.5003563302354873,0.0
79.0,ppo,nan,0.49993151009147774,1.0
80.0,raw,nan,0.49992118008926767,0.0
80.0,ppo,nan,0.4997077888087208,1.0
81.0,raw,nan,0.5012538128223466,0.0
81.0,ppo,nan,0.5008227697981483,1.0
82.0,raw,nan,0.5006423374728255,0.0
82.0,ppo,nan,0.5006872189982843,1.0
83.0,raw,nan,0.5002989928354935,0.0
83.0,ppo,nan,0.5007758686616012,1.0
84.0,raw,nan,0.4995384996554141,0.0
84.0,ppo,nan,0.49835528731070594,1.0
85.0,raw,nan,0.49976887010492926,0.0
85.0,ppo,nan,0.49948272830281676,1.0
86.0,raw,nan,0.4961622652042063,0.0
86.0,ppo,nan,0.4975177078512351,1.0
87.0,raw,nan,0.49916520837050743,0.0
87.0,ppo,nan,0.49850254446552794,1.0
88.0,raw,nan,0.5045072008233497,0.0
88.0,ppo,nan,0.5041389004276186,1.0
89.0,raw,nan,0.5010213712681809,0.0
89.0,ppo,nan,0.5001654669910756,1.0
90.0,raw,nan,0.5020970724590695,0.0
90.0,ppo,nan,0.5007607687875061,1.0
91.0,raw,nan,0.5004261846893725,0.0
91.0,ppo,nan,0.5002203394823673,1.0
92.0,raw,nan,0.5039057317301999,0.0
92.0,ppo,nan,0.5027743855542823,1.0
93.0,raw,nan,0.5008016718060784,0.0
93.0,ppo,nan,0.5002268292697185,1.0
94.0,raw,nan,0.4995807270019573,0.0
94.0,ppo,nan,0.4995955656295378,1.0
95.0,raw,nan,0.49967296877572953,0.0
95.0,ppo,nan,0.5003144196705628,1.0
96.0,raw,nan,0.49883007692772796,0.0
96.0,ppo,nan,0.49778821894331754,1.0
97.0,raw,nan,0.49970556628061436,0.0
97.0,ppo,nan,0.49970687689606075,1.0
98.0,raw,nan,0.49912475823948554,0.0
98.0,ppo,nan,0.4990298654359297,1.0
99.0,raw,nan,0.49974796515756115,0.0
99.0,ppo,nan,0.4998432343606038,1.0
