replication,method,threshold,final_value,ppo_fraction
0.0,raw,nan,0.5379966282837354,0.0
0.0,ppo,nan,0.5844258457688314,1.0
0.0,mse_oracle,nan,0.5775892323046968,0.6875
1.0,raw,nan,0.5865066197898031,0.0
1.0,ppo,nan,0.5186735923251301,1.0
1.0,mse_oracle,nan,0.5883388917690552,0.4375
2.0,raw,nan,0.3044630494774119,0.0
2.0,ppo,nan,0.5426104086624757,1.0
2.0,mse_oracle,nan,0.570229575895449,0.75
3.0,raw,nan,0.5414556951656899,0.0
3.0,ppo,nan,0.5761333668039788,1.0
3.0,mse_oracle,nan,0.5645232612902629,0.5
4.0,raw,nan,0.6013802046581849,0.0
4.0,ppo,nan,0.5871733305151352,1.0
4.0,mse_oracle,nan,0.5971169874094929,0.5
5.0,raw,nan,0.55880894888484,0.0
5.0,ppo,nan,0.5377941453363666,1.0
5.0,mse_oracle,nan,0.5763917070479498,0.625
6.0,raw,nan,0.5871143556870454,0.0
6.0,ppo,nan,0.5334563669993254,1.0
6.0,mse_oracle,nan,0.5865044723371364,0.625
7.0,raw,nan,0.4971215703711735,0.0
7.0,ppo,nan,0.5809997068870557,1.0
7.0,mse_oracle,nan,0.5683765826474076,0.75
8.0,raw,nan,0.5963834166924626,0.0
8.0,ppo,nan,0.5801068429881884,1.0
8.0,mse_oracle,nan,0.5722084453884254,0.5
9.0,raw,nan,0.5310831047742556,0.0
9.0,ppo,nan,0.5728893498935814,1.0
9.0,mse_oracle,nan,0.5546460196576402,0.6875
10.0,raw,nan,0.5996523238691931,0.0
10.0,ppo,nan,0.5786733633426493,1.0
10.0,mse_oracle,nan,0.5448260994347657,0.6875
11.0,raw,nan,0.5305377993615837,0.0
11.0,ppo,nan,0.5673566997490215,1.0
11.0,mse_oracle,nan,0.5696877764334942,0.75
12.0,raw,nan,0.5186907409462695,0.0
12.0,ppo,nan,0.5619854023852813,1.0
12.0,mse_oracle,nan,0.5692587065327643,0.6875
13.0,raw,nan,0.5380608876938636,0.0
13.0,ppo,nan,0.5478225258602748,1.0
13.0,mse_oracle,nan,0.5650100313000047,0.5625
14.0,raw,nan,0.5755206693125161,0.0
14.0,ppo,nan,0.5782052312054445,1.0
14.0,mse_oracle,nan,0.5845890682211051,0.5625
15.0,raw,nan,0.42656561273249954,0.0
15.0,ppo,nan,0.5302798654068508,1.0
15.0,mse_oracle,nan,0.575834528253922,0.75
16.0,raw,nan,0.5903127833051715,0.0
16.0,ppo,nan,0.47922649002006656,1.0
16.0,mse_oracle,nan,0.575558637387269,0.5625
17.0,raw,nan,0.4758689180468418,0.0
17.0,ppo,nan,0.5562722599322609,1.0
17.0,mse_oracle,nan,0.49600176165924187,0.5625
18.0,raw,nan,0.4436919898151739,0.0
18.0,ppo,nan,0.5708856903091468,1.0
18.0,mse_oracle,nan,0.5467252161395496,0.625
19.0,raw,nan,0.5720840935363379,0.0
19.0,ppo,nan,0.5797913319300845,1.0
19.0,mse_oracle,nan,0.5797849185521549,0.6875
20.0,raw,nan,0.5877340846958772,0.0
20.0,ppo,nan,0.45619386391482314,1.0
20.0,mse_oracle,nan,0.5411231371121825,0.5
21.0,raw,nan,0.5711474424494168,0.0
21.0,ppo,nan,0.5901150204052399,1.0
21.0,mse_oracle,nan,0.5957186881072061,0.625
22.0,raw,nan,0.5581214083164022,0.0
22.0,ppo,nan,0.5684722560407368,1.0
22.0,mse_oracle,nan,0.591867872039549,0.75
23.0,raw,nan,0.10723286487482882,0.0
23.0,ppo,nan,0.5628452788377243,1.0
23.0,mse_oracle,nan,0.5717744395935135,0.8125
24.0,raw,nan,0.5690922121274785,0.0
24.0,ppo,nan,0.5345659011961029,1.0
24.0,mse_oracle,nan,0.5593391082832047,0.5625
25.0,raw,nan,0.5242245126892379,0.0
25.0,ppo,nan,0.5326185126826817,1.0
25.0,mse_oracle,nan,0.5036285069561615,0.3125
26.0,raw,nan,0.42290509349115135,0.0
26.0,ppo,nan,0.5603009041002804,1.0
26.0,mse_oracle,nan,0.5732629429561366,0.5625
27.0,raw,nan,0.5428395991076757,0.0
27.0,ppo,nan,0.5550320690046008,1.0
27.0,mse_oracle,nan,0.5684734520048915,0.5625
28.0,raw,nan,0.5690477659517406,0.0
28.0,ppo,nan,0.5201345684767158,1.0
28.0,mse_oracle,nan,0.5550138081358635,0.75
29.0,raw,nan,0.5711416343777945,0.0
29.0,ppo,nan,0.5401124372526447,1.0
29.0,mse_oracle,nan,0.5828056582729174,0.5
30.0,raw,nan,0.565197904593667,0.0
30.0,ppo,nan,0.5505643584023312,1.0
30.0,mse_oracle,nan,0.5716607614713926,0.5625
31.0,raw,nan,0.59484536010066,0.0
31.0,ppo,nan,0.5499699729489183,1.0
