estimator,bin,label,relative_error_left,relative_error_right,relative_error_median,count,mean_change,change_se,harm_rate
raw,1.0,0.25-0.5,0.25,0.5,0.48526675405136005,1.0,0.006436906698461364,0.0,0.0
raw,2.0,0.5-1,0.5,1.0,0.8262261724551904,47.0,0.0034887207559402664,0.0004365373243003497,0.0
raw,3.0,1-2,1.0,2.0,1.5141952959039384,131.0,0.0035147444482489625,0.0002466875923465672,0.11450381679389313
raw,4.0,2-4,2.0,4.0,2.831122063923897,204.0,0.003632968893384963,0.0002191214684246179,0.0392156862745098
raw,5.0,4+,4.0,inf,5.683051211140556,217.0,0.003399588680196389,0.0004366513285480939,0.1152073732718894
ppo,1.0,0.25-0.5,0.25,0.5,0.42081747547342585,8.0,0.0061536955619291706,0.0007587223590343718,0.0
ppo,2.0,0.5-1,0.5,1.0,0.8307713276790543,89.0,0.0025764504565213638,0.0002846607942216554,0.0
ppo,3.0,1-2,1.0,2.0,1.5294990269608917,125.0,0.0037996111588339855,0.00025442226254480043,0.048
ppo,4.0,2-4,2.0,4.0,2.8704742738344704,203.0,0.004123449942030857,0.0002335129132334267,0.029556650246305417
ppo,5.0,4+,4.0,inf,5.89872398108804,175.0,0.00421669391227762,0.0004612687349640147,0.09714285714285714
