learning_rate,method,replications,mean_final_value,se_final_value,median_final_value
0.25,raw,12,0.5735262313011612,0.0005680030651994331,0.5733387440658695
0.25,ppo,12,0.5701008550482173,0.0005400477920572957,0.5696023699971042
0.25,mse_oracle,12,0.5708806699650545,0.0005466279450358065,0.5710451493734813
0.5,raw,12,0.649922209071091,0.000860687525092091,0.6492881457745122
0.5,ppo,12,0.6395863465614524,0.0008037438726592647,0.6391461771484295
0.5,mse_oracle,12,0.6403837472923395,0.0014028831980817794,0.6398203665397912
1.0,raw,12,0.7248067403476656,0.0035645967199302115,0.7289238538086364
1.0,ppo,12,0.707440467243277,0.00138268118433524,0.7058351620933043
1.0,mse_oracle,12,0.707731896448729,0.002835373492883118,0.7105404205241097
2.0,raw,12,0.5369942789625876,0.07004627936217139,0.6268245587638688
2.0,ppo,12,0.725294060078458,0.015847200372263386,0.7515659584805614
2.0,mse_oracle,12,0.747956919187409,0.00478843926552141,0.7498820506204247
3.0,raw,12,0.2762643642167975,0.05749415651886881,0.22988321850726118
3.0,ppo,12,0.3592416848336308,0.05796835552875018,0.3655758086712436
3.0,mse_oracle,12,0.37121059194422706,0.05988354044057958,0.3026823825112084
