candidate,rollout_size,minibatches,minibatch_size,policy_iterations,learning_rate,eta_max,ppo_epsilon,initialization_scale,replications,raw_final,ppo_final,oracle_final,oracle_gain_vs_best_static,oracle_gain_se,oracle_ppo_fraction,oracle_raw_distinct_fraction,oracle_distinct_fraction,early_raw_minus_ppo,early_oracle_minus_raw,early_oracle_minus_ppo,score
N40_eps020_lr05,320.0,8.0,40.0,15.0,0.05,0.1731691700466987,0.2,0.35,8.0,0.49612394689802647,0.49612394689802647,0.49612394689802647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N40_eps020_lr10,320.0,8.0,40.0,15.0,0.1,0.1731691700466987,0.2,0.35,8.0,0.5401411667503663,0.5400711605945501,0.5400711605945501,-0.00016528647619652725,7.385186483851715e-05,0.02291666666666667,0.0,0.02291666666666667,0.00010924791043363108,-0.00010924791043363108,0.0,-0.9507316838393084
N20_eps020_lr05,320.0,16.0,20.0,15.0,0.05,0.1731691700466987,0.2,0.35,8.0,0.5401185248019743,0.5399517132030867,0.5399517132030867,-0.00018298492220396312,5.7761561038463366e-05,0.0140625,0.0,0.0140625,0.00010529949883877898,-0.00010529949883877898,0.0,-1.1598828066828657
N40_eps010_lr05,320.0,8.0,40.0,15.0,0.05,0.1731691700466987,0.1,0.35,8.0,0.49612394689802647,0.4959398968472114,0.49594129232298434,-0.00018265457504214322,2.9022587428716155e-05,0.04166666666666667,0.0010416666666666667,0.042708333333333334,0.00013355185638896927,-0.00013355185638896927,0.0,-1.3844290580801075
N40_eps020_lr14,320.0,8.0,40.0,15.0,0.14,0.1731691700466987,0.2,0.35,8.0,0.5701230321606999,0.5693912143214008,0.5693912143214008,-0.0007852122237619885,0.0002901775510188401,0.11770833333333333,0.0,0.11770833333333333,0.0002809878821229961,-0.0002809878821229961,0.0,-2.01244849097962
N40_eps020_lr17,320.0,8.0,40.0,15.0,0.17,0.1731691700466987,0.2,0.35,8.0,0.5896153681446141,0.5886140123018526,0.588557847745083,-0.001057520399531095,0.00024048149865669622,0.21145833333333333,0.0010416666666666667,0.2125,0.0005161537388585699,-0.00046340717050585845,5.2746568352711465e-05,-3.074705547374341
N20_eps020_lr10,320.0,16.0,20.0,15.0,0.1,0.1731691700466987,0.2,0.35,8.0,0.6074699219952768,0.6061000899833375,0.6061000899833375,-0.0014336641333939915,0.00032886728064029355,0.2109375,0.0,0.2109375,0.000806299225032947,-0.000806299225032947,0.0,-3.342908629573113
N40_eps010_lr10,320.0,8.0,40.0,15.0,0.1,0.1731691700466987,0.1,0.35,8.0,0.5401411667503663,0.538590396568452,0.538619308824134,-0.0015218579262322174,0.00027753852234934577,0.3541666666666667,0.007291666666666667,0.3614583333333333,0.000898736454681831,-0.0008943510873437241,4.38536733810696e-06,-3.8122503778210595
N40_eps005_lr05,320.0,8.0,40.0,15.0,0.05,0.1731691700466987,0.05,0.35,8.0,0.49612394689802647,0.4941265443754506,0.4943783443271773,-0.00174560257084911,0.00016686734412201513,0.3770833333333333,0.03229166666666666,0.409375,0.0009112961454131249,-0.0008049301983412485,0.00010636594707187641,-5.572337207923793
N20_eps010_lr05,320.0,16.0,20.0,15.0,0.05,0.1731691700466987,0.1,0.35,8.0,0.5401185248019743,0.5382937725219346,0.5382937725219346,-0.0018247522800398097,0.00019780159349659258,0.26614583333333336,0.0,0.26614583333333336,0.0010444946267064714,-0.0010444946267064714,0.0,-6.127409388965169
N20_eps020_lr14,320.0,16.0,20.0,15.0,0.14,0.1731691700466987,0.2,0.35,8.0,0.647424859402157,0.6428018788919581,0.6428018788919581,-0.004622980510198757,0.000606211345610241,0.3901041666666667,0.0,0.3901041666666667,0.0018574823798298626,-0.0018574823798298626,0.0,-6.546171396048607
N40_eps010_lr17,320.0,8.0,40.0,15.0,0.17,0.1731691700466987,0.1,0.35,8.0,0.5896153681446141,0.5824285396756235,0.5829322957240586,-0.006683072420555519,0.0006758405869517078,0.6520833333333333,0.030208333333333334,0.6822916666666667,0.003083997471436728,-0.0023568343832703897,0.0007271630881663382,-7.70772628965692
N40_eps010_lr14,320.0,8.0,40.0,15.0,0.14,0.1731691700466987,0.1,0.35,8.0,0.5701230321606999,0.5651616602547088,0.565438933985191,-0.00468409817550898,0.0004682677503646632,0.5677083333333334,0.016666666666666666,0.584375,0.0019330477120453118,-0.0015999088595184605,0.0003331388525268514,-7.7427661476533665
N20_eps020_lr17,320.0,16.0,20.0,15.0,0.17,0.1731691700466987,0.2,0.35,8.0,0.6713511938417444,0.6653243447441128,0.6653243447441128,-0.006026849097631515,0.0006777954736734629,0.4755208333333334,0.0,0.4755208333333334,0.00272758638394717,-0.00272758638394717,0.0,-7.748629686885693
N20_eps010_lr14,320.0,16.0,20.0,15.0,0.14,0.1731691700466987,0.1,0.35,8.0,0.647424859402157,0.6331897612212369,0.6331897612212369,-0.01423509818092003,0.0012056616480729389,0.7302083333333333,0.0,0.7302083333333333,0.006617931588518693,-0.006617931588518693,0.0,-10.902593487317326
N40_eps005_lr10,320.0,8.0,40.0,15.0,0.1,0.1731691700466987,0.05,0.35,8.0,0.5401411667503663,0.5325172416218746,0.5335845701924197,-0.006556596557946687,0.0003700927098664739,0.6729166666666666,0.07708333333333334,0.75,0.003479176298973763,-0.001886626244176022,0.0015925500547977409,-11.634954236865395
