scale,lr,eta_max,updates,initial,raw_final,ppo_final,final_gap,max_early_raw,max_early_update,crossover,transition,score
1.2,0.1689227278777497,0.1723701304874997,956,0.8656612919933122,0.39462936687637307,0.7190928042433022,-0.3244634373669292,0.008807240093151703,160,220,1.0,33.32706774600809
1.1,0.1689227278777497,0.1723701304874997,956,0.8512308550922029,0.20230466536969752,0.8662844448637188,-0.6639797794940213,-0.002070904853305522,20,40,0.0,66.19088746407158
1.15,0.1689227278777497,0.1723701304874997,956,0.8589333429753235,0.26484876820522485,0.8712300231008901,-0.6063812548956653,-0.0007833310038846131,20,40,0.0,60.55979238917807
1.05,0.1689227278777497,0.1723701304874997,956,0.8423815621934049,0.45485985286133124,0.7692757748184619,-0.31441592195713064,-0.0035688134698187435,20,40,0.0,31.084710848731188
1.2,0.14,0.1723701304874997,956,0.8656612919933122,0.6688561485348254,0.873369976902692,-0.20451382836786658,-0.0012630217439312252,20,40,0.0,20.325080662393535
1.1,0.14,0.1723701304874997,956,0.8512308550922029,0.7355219951011464,0.8633016655706751,-0.12777967046952876,-0.0014915917287817715,20,40,0.0,12.628807874074699
1.15,0.1,0.1723701304874997,956,0.8589333429753235,0.8673879236856312,0.8672023917384111,0.0001855319472201522,-6.562202341053869e-05,20,-1,0.0,-0.006562202341053869
1.1,0.1,0.1723701304874997,956,0.8512308550922029,0.8606789390029238,0.8607356007669462,-5.6661764022414296e-05,-0.0001440714947434918,20,40,0.0,-0.00874097307210775
1.2,0.1,0.1723701304874997,956,0.8656612919933122,0.8712028140420095,0.8718149764260767,-0.0006121623840672497,-0.0007645766107237106,20,40,0.0,-0.015241422665646098
1.05,0.1,0.1723701304874997,956,0.8423815621934049,0.8564694208063013,0.8547762732829556,0.001693147523345706,-0.000515635791189184,20,-1,0.0,-0.0515635791189184
1.15,0.14,0.1723701304874997,956,0.8589333429753235,0.8697329762738477,0.869798368600564,-6.539232671631812e-05,-0.0005842648130887085,20,940,0.0,-0.051887248637239036
1.05,0.14,0.1723701304874997,956,0.8423815621934049,0.8576252609171611,0.8575868407207677,3.84201963933295e-05,-0.0025141346570800582,20,-1,0.0,-0.2514134657080058
