method,step,mean_value,value_se
Unclipped,0,0.4215375651115442,7.226936326089276e-18
Unclipped,1,0.45881463225090063,0.0010596564826542917
Unclipped,2,0.4988191228477614,0.0013018979590063854
Unclipped,3,0.5288314415299761,0.0013724003266734409
Unclipped,4,0.55845641283338,0.001498069710146844
Unclipped,5,0.5809126419818872,0.0015844066873577135
Unclipped,6,0.6031627730778122,0.0016334001845505065
Unclipped,7,0.6204600922769798,0.0017458751857083261
Unclipped,8,0.6375608005039132,0.0017379365838776156
Unclipped,9,0.6511764125008359,0.0019307620862168027
Unclipped,10,0.6642843140655451,0.0018199407706132862
Unclipped,11,0.6757330829821078,0.0019375357511821833
Unclipped,12,0.6862717139450631,0.0018493488074894488
Unclipped,13,0.6956286902144455,0.001990575718743942
Unclipped,14,0.7041905360027598,0.0018569029028993828
Unclipped,15,0.7120886800603502,0.001981524216188712
Unclipped,16,0.7192413196185515,0.0018543393849253882
Unclipped,17,0.7259127959764506,0.001956518579446069
Unclipped,18,0.7319911837471156,0.001852747103725436
Unclipped,19,0.7376533082763631,0.0019240348754567319
Unclipped,20,0.7428784598408259,0.0018559610739829005
Unclipped,21,0.7476262131701291,0.0018962170767352169
Unclipped,22,0.7521492333976849,0.0018590353515485268
Unclipped,23,0.7561527722184683,0.0018819642597105578
Unclipped,24,0.7601191616550989,0.0018600744636813268
Unclipped,25,0.7635948384063854,0.0018734744624889048
Unclipped,26,0.7671056874964286,0.0018611140391217962
Unclipped,27,0.7701629339728518,0.0018631484273473053
Unclipped,28,0.7732946296516641,0.0018553545297311652
Unclipped,29,0.7760275305318012,0.0018500052215723736
Unclipped,30,0.7788305712090247,0.0018465142281361099
Unclipped,31,0.7812881973280311,0.0018402031879337023
Unclipped,32,0.7837927115294825,0.0018422431554936433
Unclipped,33,0.7860121879719693,0.0018362075428960502
Unclipped,34,0.7882661367376376,0.00183994082349488
Unclipped,35,0.7902949376728492,0.0018317554681895965
PPO clipped,0,0.4215375651115442,7.226936326089276e-18
PPO clipped,1,0.45881463225090063,0.0010596564826542917
PPO clipped,2,0.4993664343653746,0.0012202493637373886
PPO clipped,3,0.5277358707616188,0.001550021398611803
PPO clipped,4,0.5562064379774052,0.0016326905674223411
PPO clipped,5,0.5772743558367043,0.0017932117162780797
PPO clipped,6,0.6000874646722515,0.0016077924211414234
PPO clipped,7,0.6134006406372857,0.0016954869881932568
PPO clipped,8,0.6307655650491307,0.0017793805916471444
PPO clipped,9,0.642881784904532,0.0016847072629742883
PPO clipped,10,0.6586635279894216,0.001589921217698674
PPO clipped,11,0.6653228154861064,0.0015849071448201704
PPO clipped,12,0.6779218861415139,0.0016673457904871243
PPO clipped,13,0.6850791225733038,0.0015692105815737938
PPO clipped,14,0.6956817353373348,0.0014961209365257602
PPO clipped,15,0.7009489439674783,0.0015258976616181932
PPO clipped,16,0.7093079844678022,0.0014488588665864846
PPO clipped,17,0.7134133853616258,0.0014041548113078776
PPO clipped,18,0.7202058071774531,0.0013722928580064547
PPO clipped,19,0.7251247636639834,0.0014046450479001966
PPO clipped,20,0.7302150785484773,0.0013252399355536575
PPO clipped,21,0.7347033037916678,0.0013326347064675044
PPO clipped,22,0.7398879118828308,0.0012555213591421855
PPO clipped,23,0.7434331992171562,0.0012608502536183431
PPO clipped,24,0.7465861274991759,0.001274119746491731
PPO clipped,25,0.749671082642055,0.0012435637546666092
PPO clipped,26,0.7529356647287293,0.0012399552495892556
PPO clipped,27,0.7548728027779165,0.001250152621321462
PPO clipped,28,0.7573034478574403,0.0011968574099366375
PPO clipped,29,0.7600041524962518,0.0012134152754807264
PPO clipped,30,0.7625642778961937,0.0011764101772786875
PPO clipped,31,0.7644018204831412,0.0011466915069232911
PPO clipped,32,0.7658836002334725,0.0011635844163164217
PPO clipped,33,0.7676583748009291,0.0011476705172474813
PPO clipped,34,0.7694839014144826,0.001162223939628952
PPO clipped,35,0.7707044086663413,0.001152502795436713
ESS gated,0,0.4215375651115442,7.226936326089276e-18
ESS gated,1,0.45881463225090063,0.0010596564826542917
ESS gated,2,0.4988191228477614,0.0013018979590063854
ESS gated,3,0.5288314415299761,0.0013724003266734409
ESS gated,4,0.55845641283338,0.001498069710146844
ESS gated,5,0.5809126419818872,0.0015844066873577135
ESS gated,6,0.6031627730778122,0.0016334001845505065
ESS gated,7,0.6204600922769798,0.0017458751857083261
ESS gated,8,0.6375608005039132,0.0017379365838776156
ESS gated,9,0.6511764125008359,0.0019307620862168027
ESS gated,10,0.6642843140655451,0.0018199407706132862
ESS gated,11,0.6757330829821078,0.0019375357511821833
ESS gated,12,0.6862717139450631,0.0018493488074894488
