minibatches_per_estimator,sequences_per_diagnostic,ess_bin,ess_bin_lower,ess_bin_upper,median_population_sequence_ess,mean_raw_gradient_mse,raw_gradient_mse_se,mean_ppo_gradient_mse,ppo_gradient_mse_se,mean_raw_minus_ppo_mse,raw_minus_ppo_mse_se,mean_ppo_mse_reduction_pct,ppo_mse_reduction_pct_se,mean_raw_relative_gain_pct,raw_relative_gain_pct_se,mean_ppo_relative_gain_pct,ppo_relative_gain_pct_se,mean_ppo_minus_raw_gain_pct,ppo_minus_raw_gain_pct_se,checkpoints,diagnostic_draws
1.0,128.0,1.0,0.0,0.03,0.003712511334693353,0.08474366105631595,0.02792936787341225,0.07093477698935374,0.02955862109917304,0.013808884066962228,0.006639041789125216,25.947211913963955,11.33234359704028,1.0953362681772316,1.4478846967260348,-0.4406218611364442,0.9482112374881414,-1.535958129313676,0.6363291267801617,8.0,256.0
1.0,128.0,2.0,0.03,0.1,0.054291240308217525,0.22285814774120727,0.16019420605043524,0.18216220128667032,0.1639499797459082,0.04069594645453693,0.0257399131735425,49.422714901712354,10.412298068262036,0.9299655257765487,1.530178321044891,-0.9537224999380592,0.39909730087545203,-1.883688025714608,1.311258906655172,8.0,256.0
1.0,128.0,3.0,0.1,0.2,0.13007014892072039,0.0376222625456022,0.002707554854860111,0.027172746597008895,0.0042316322654971945,0.010449515948593308,0.0020029649071909876,30.057910061138696,6.64669384413049,1.0219272212285078,1.3389839849186584,0.3056240129749291,0.87894995591895,-0.7163032082535787,0.5603463216151171,8.0,256.0
1.0,128.0,4.0,0.2,0.4,0.30502744368557866,0.030913357102630632,0.00746455705980761,0.017915809032077783,0.0018784702876928818,0.012997548070552853,0.006393680308237098,33.0790949757209,7.788416547810961,0.8371553347576777,0.4776103744106734,0.4634065695461588,0.5073728736261374,-0.3737487652115189,0.5155429984899704,8.0,256.0
1.0,128.0,5.0,0.4,0.6,0.5740879612914553,0.023253689226124218,0.0024067500603324097,0.019079688274284988,0.0025740887410973497,0.004174000951839231,0.0008131355426132784,19.15105589855512,4.091134835186563,1.1611165000376924,0.5431950967144716,0.26099500309315005,0.16355802714153803,-0.9001214969445425,0.4651338984710389,8.0,256.0
1.0,128.0,6.0,0.6,0.8,0.7217556556475446,0.016943678288035245,0.002185867571113029,0.01433624761165684,0.00207324407553739,0.0026074306763784077,0.00046520360883457994,16.370808509331688,2.4289619146975614,1.8855646304437876,0.8176533986614659,1.2533441616052285,0.8333134903354301,-0.632220468838559,0.6081057818161384,8.0,256.0
1.0,128.0,7.0,0.8,1.000001,0.902032571832392,0.015443229916080508,0.002733427945363674,0.013378237893611745,0.002319425579093785,0.0020649920224687646,0.000667317243130361,11.12658101728056,2.799218779259736,2.7197612320748648,1.1279677957446947,2.097392215353854,1.0558236068545785,-0.622369016721011,0.4265018093951202,8.0,256.0
4.0,512.0,1.0,0.0,0.03,0.003712511334693353,0.04862400181980882,0.019817626143926296,0.04305340447508378,0.020519926971690694,0.0055705973447250316,0.002332259280323643,26.650265447570124,9.313601498144449,2.334401445020947,1.830039950208286,0.27488017306953183,1.4930230397877204,-2.0595212719514144,0.7284076480376542,8.0,256.0
4.0,512.0,2.0,0.03,0.1,0.054291240308217525,0.03552851678764661,0.0103398233279653,0.03113602859993052,0.011164071805343399,0.004392488187716084,0.0038528659755060544,16.385860306269237,11.639520119957139,2.3988882741041246,1.555103510853646,-0.4199456076837045,0.41250189910708335,-2.8188338817878296,1.4555925459070889,8.0,256.0
4.0,512.0,3.0,0.1,0.2,0.13007014892072039,0.01113966853903043,0.0011632523524440163,0.010605326769599768,0.001275847633919134,0.0005343417694306585,0.0004618711867820528,5.117041963821145,4.909175156166139,3.750461258096186,1.6907339401384063,2.6566639423341125,1.5178119669155938,-1.0937973157620733,0.3877945172482033,8.0,256.0
4.0,512.0,4.0,0.2,0.4,0.30502744368557866,0.006827516068674551,0.0011457216317381656,0.006010686051341846,0.0008058225228848811,0.0008168300173327049,0.0006652734355573656,9.14445900389153,6.463748900426165,3.019645862398983,0.5945753092494146,2.084351298011684,0.7354153823017352,-0.9352945643872992,0.5072038485202264,8.0,256.0
4.0,512.0,5.0,0.4,0.6,0.5740879612914553,0.0060388875258111955,0.0006261277072673984,0.007043573517795788,0.0005606859775481029,-0.0010046859919845932,0.000320097126494609,-18.985889099076722,5.369955588462175,2.741533079360657,0.5679719565815167,1.5801014323828246,0.25403467456810763,-1.161431646977832,0.5196353799423297,8.0,256.0
4.0,512.0,6.0,0.6,0.8,0.7217556556475446,0.004550328994156052,0.0005400941561296018,0.00533106635087563,0.0006488682118077425,-0.000780737356719578,0.00023531864060923624,-17.640917589811767,4.751083486796458,3.253364078525987,0.7930531177791683,2.3746821879607642,0.8824343281875584,-0.8786818905652223,0.5764728105405624,8.0,256.0
4.0,512.0,7.0,0.8,1.000001,0.902032571832392,0.004010553287590384,0.0006944670163091279,0.004356991644874076,0.0006969508339302863,-0.00034643835728369256,0.00029080843560325565,-10.46991387406133,6.541492933404188,3.3374201672640176,0.7626482134373522,2.6306859584687197,0.6411700316423423,-0.7067342087952979,0.3882350484750651,8.0,256.0
