checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
2.0,1.0,1.0,128.0,4.0801509632285453e-05,Raw,0.0,0.0,0.23918123505340447,100.0
2.0,1.0,1.0,128.0,4.0801509632285453e-05,PPO masked,1.0,1.0,0.23009645039204735,100.0
2.0,1.0,1.0,128.0,4.0801509632285453e-05,Formula oracle,1.0,1.0,0.23009645039204735,100.0
2.0,1.0,1.0,128.0,4.0801509632285453e-05,Fitted ESS,1.0,1.0,0.23009645039204735,100.0
2.0,1.0,1.0,128.0,4.0801509632285453e-05,Effective-count transfer,1.0,1.0,0.23009645039204735,100.0
2.0,1.0,1.0,128.0,4.0801509632285453e-05,Fixed ESS 0.1,1.0,1.0,0.23009645039204735,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,Raw,0.0,0.0,0.1295572938809878,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,PPO masked,1.0,1.0,0.12371281067130115,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,Formula oracle,1.0,1.0,0.12371281067130115,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,Fitted ESS,1.0,1.0,0.12371281067130115,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,Effective-count transfer,1.0,1.0,0.12371281067130115,100.0
2.0,1.0,2.0,256.0,4.0801509632285453e-05,Fixed ESS 0.1,1.0,1.0,0.12371281067130115,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,Raw,0.0,0.0,0.11183281485659698,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,PPO masked,1.0,1.0,0.10798665283250601,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,Formula oracle,1.0,1.0,0.10798665283250601,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,Fitted ESS,1.0,1.0,0.10798665283250601,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,Effective-count transfer,1.0,1.0,0.10798665283250601,100.0
2.0,1.0,4.0,512.0,4.0801509632285453e-05,Fixed ESS 0.1,1.0,1.0,0.10798665283250601,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,Raw,0.0,0.0,0.03758731699676543,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,PPO masked,1.0,1.0,0.036396982511252306,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,Formula oracle,1.0,1.0,0.036396982511252306,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,Fitted ESS,0.0,0.0,0.03758731699676543,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,Effective-count transfer,1.0,1.0,0.036396982511252306,100.0
2.0,1.0,8.0,1024.0,4.0801509632285453e-05,Fixed ESS 0.1,1.0,1.0,0.036396982511252306,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,Raw,0.0,0.0,0.1846161832866949,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,PPO masked,1.0,1.0,0.17374446796723222,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,Formula oracle,1.0,1.0,0.17374446796723222,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,Fitted ESS,1.0,1.0,0.17374446796723222,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,Effective-count transfer,1.0,1.0,0.17374446796723222,100.0
3.0,1.0,1.0,128.0,3.534296787816869e-05,Fixed ESS 0.1,1.0,1.0,0.17374446796723222,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,Raw,0.0,0.0,139.06374227171173,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,PPO masked,1.0,1.0,139.11266052856305,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,Formula oracle,1.0,1.0,139.11266052856305,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,Fitted ESS,1.0,1.0,139.11266052856305,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,Effective-count transfer,1.0,1.0,139.11266052856305,100.0
3.0,1.0,2.0,256.0,3.534296787816869e-05,Fixed ESS 0.1,1.0,1.0,139.11266052856305,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,Raw,0.0,0.0,34.761717931637534,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,PPO masked,1.0,1.0,34.77890022467267,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,Formula oracle,1.0,1.0,34.77890022467267,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,Fitted ESS,1.0,1.0,34.77890022467267,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,Effective-count transfer,1.0,1.0,34.77890022467267,100.0
3.0,1.0,4.0,512.0,3.534296787816869e-05,Fixed ESS 0.1,1.0,1.0,34.77890022467267,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,Raw,0.0,1.0,8.778998002820309,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,PPO masked,1.0,0.0,8.782394005849188,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,Formula oracle,0.0,1.0,8.778998002820309,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,Fitted ESS,0.0,1.0,8.778998002820309,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,Effective-count transfer,1.0,0.0,8.782394005849188,100.0
3.0,1.0,8.0,1024.0,3.534296787816869e-05,Fixed ESS 0.1,1.0,0.0,8.782394005849188,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Raw,0.0,0.0,0.07745588448122835,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,PPO masked,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Raw,0.0,0.0,0.030790561332962284,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,PPO masked,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Raw,0.0,0.0,0.016172006849483042,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,PPO masked,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.012349684379675105,100.0
