blocks_per_estimator,sequences_per_estimator,method,mean_heldout_gradient_mse,heldout_gradient_mse_se,best_static_method,mean_excess_mse_vs_best_static_pct,excess_mse_vs_best_static_pct_se,formula_agreement_pct,selected_ppo_pct,test_checkpoints,evaluation_draws_per_checkpoint
1.0,128.0,Raw,0.04671077380692851,0.009917677816104172,PPO masked,169.16191631474436,94.68576270387257,3.571428571428571,0.0,28.0,100.0
1.0,128.0,PPO masked,0.0333450088518175,0.009394826780791296,PPO masked,0.0,0.0,96.42857142857143,100.0,28.0,100.0
1.0,128.0,Formula oracle,0.0333450088518175,0.009394826780791296,PPO masked,0.0,0.0,100.0,96.42857142857143,28.0,100.0
1.0,128.0,Fitted ESS,0.0333450088518175,0.009394826780791296,PPO masked,0.0,0.0,96.42857142857143,100.0,28.0,100.0
1.0,128.0,Effective-count transfer,0.0333450088518175,0.009394826780791296,PPO masked,0.0,0.0,96.42857142857143,100.0,28.0,100.0
1.0,128.0,Fixed ESS 0.1,0.03933482487238871,0.009407098663731881,PPO masked,26.562650743959324,6.849773257052962,32.142857142857146,28.57142857142857,28.0,100.0
2.0,256.0,Raw,4.990561923335539,4.965676545720704,PPO masked,240.12593338358224,155.03879434728012,3.571428571428571,0.0,28.0,100.0
2.0,256.0,PPO masked,4.982821723850997,4.967773531753188,PPO masked,0.0,0.0,96.42857142857143,100.0,28.0,100.0
2.0,256.0,Formula oracle,4.982821723850997,4.967773531753188,PPO masked,0.0,0.0,100.0,96.42857142857143,28.0,100.0
2.0,256.0,Fitted ESS,4.982821723850997,4.967773531753188,PPO masked,0.0,0.0,96.42857142857143,100.0,28.0,100.0
2.0,256.0,Effective-count transfer,4.982967221737811,4.967768137893845,PPO masked,1.6653293969030936,0.6343551837762716,67.85714285714286,64.28571428571429,28.0,100.0
2.0,256.0,Fixed ESS 0.1,4.984974812497627,4.967693871913556,PPO masked,15.760123963526004,6.07802171173677,32.142857142857146,28.57142857142857,28.0,100.0
4.0,512.0,Raw,1.2552023735161921,1.240988587451881,PPO masked,91.87543057078327,60.82065188411573,50.0,0.0,28.0,100.0
4.0,512.0,PPO masked,1.2526286797477728,1.2417191725776568,PPO masked,0.0,0.0,50.0,100.0,28.0,100.0
4.0,512.0,Formula oracle,1.252446679686513,1.2417259627020656,PPO masked,-3.4247977550135396,2.0256620984630596,100.0,50.0,28.0,100.0
4.0,512.0,Fitted ESS,1.2523426768691321,1.2417298016100569,PPO masked,-4.292978652586021,1.140585000138902,85.71428571428571,57.14285714285714,28.0,100.0
4.0,512.0,Effective-count transfer,1.2523090856024357,1.2417310511516542,PPO masked,-4.8752609918785055,1.235202135630651,85.71428571428571,50.0,28.0,100.0
4.0,512.0,Fixed ESS 0.1,1.2527634859780892,1.2417142794225968,PPO masked,-1.0894817916860773,2.6701787216796276,78.57142857142857,28.57142857142857,28.0,100.0
8.0,1024.0,Raw,0.3205568246021793,0.3132805478345781,PPO masked,24.57248295585718,30.525040255308394,75.0,0.0,28.0,100.0
8.0,1024.0,PPO masked,0.32008751135357427,0.3134221514138511,PPO masked,0.0,0.0,25.0,100.0,28.0,100.0
8.0,1024.0,Formula oracle,0.32018179298575317,0.3132941377724946,PPO masked,11.029737247368656,27.54539833163965,100.0,25.0,28.0,100.0
8.0,1024.0,Fitted ESS,0.3205568246021793,0.3132805478345781,PPO masked,24.57248295585718,30.525040255308394,75.0,0.0,28.0,100.0
8.0,1024.0,Effective-count transfer,0.319366423682434,0.31344904802963586,PPO masked,-15.929825627193472,3.3685545812809417,75.0,35.714285714285715,28.0,100.0
8.0,1024.0,Fixed ESS 0.1,0.3193531186581732,0.3134495710931956,PPO masked,-16.568622357742733,3.3584965095040347,82.14285714285714,28.57142857142857,28.0,100.0
